fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_outstanding,absentee_max_ballots,provisional_outstanding,provisional_count_progress,results_bidenj,results_trumpd,results_jorgensenj,results_hawkinsh,results_pierceb,results_westk,results_de_la_fuenter,results_write_ins,results_kennedya,results_la_rivag,results_absentee_bidenj,results_absentee_trumpd,results_absentee_jorgensenj,results_absentee_hawkinsh,results_absentee_pierceb,results_absentee_westk,results_absentee_de_la_fuenter,results_absentee_write_ins,results_absentee_kennedya,results_absentee_la_rivag,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,margin2020,votes2016,margin2016,votes2012,margin2012,state,retrieved_time
27071,Koochiching,6922,0,22,22,Merged into voters' home precincts and released with cumulative results,100,6879,>98%,>98% reported,edison,4,all,,2004,,,2659,4131,60,17,10,14,13,17,0,1,0,0,0,0,0,0,0,0,0,0,2020-11-25T14:32:23Z,21.26553,R+21,Trump +21,republican,21.26553,6363,19.8,6458,-9.45,minnesota,2020-11-27T00:46:30.478791Z
27073,Lac Qui Parle,4040,0,29,29,Merged into voters' home precincts and released with cumulative results,95,4266,95%,95% reported,edison,4,all,,840,,,1446,2528,20,7,14,13,4,7,1,0,0,0,0,0,0,0,0,0,0,0,2020-11-25T14:32:58Z,26.78218,R+27,Trump +27,republican,26.78218,3860,25.6,3984,-0.9,minnesota,2020-11-27T00:46:30.478791Z
27075,Lake,7202,0,19,19,Merged into voters' home precincts and released with cumulative results,91,7885,91%,91% reported,edison,2,all,,1565,,,3647,3393,78,26,10,18,8,19,1,2,0,0,0,0,0,0,0,0,0,0,2020-11-25T14:33:31Z,3.5268,D+4,Biden +4,democrat,-3.5268,6521,-2.2,6820,-21.01,minnesota,2020-11-27T00:46:30.478791Z
27077,Lake of the Woods,2408,0,17,17,Merged into voters' home precincts and released with cumulative results,100,2407,>98%,>98% reported,edison,2,all,,281,,,671,1704,22,4,0,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0,2020-11-25T14:34:00Z,42.89867,R+43,Trump +43,republican,42.89867,2242,44,2234,20.01,minnesota,2020-11-27T00:46:30.478791Z
27079,Le Sueur,16818,0,26,26,Merged into voters' home precincts and released with cumulative results,100,16486,>98%,>98% reported,edison,2,all,,2535,,,5672,10775,169,42,36,42,35,42,4,1,0,0,0,0,0,0,0,0,0,0,2020-11-25T14:34:39Z,30.34249,R+30,Trump +30,republican,30.34249,14971,30.5,14795,6.5,minnesota,2020-11-27T00:46:30.478791Z
27081,Lincoln,3115,0,20,20,Merged into voters' home precincts and released with cumulative results,93,3343,93%,93% reported,edison,4,all,,612,,,937,2121,23,6,6,8,9,3,1,1,0,0,0,0,0,0,0,0,0,0,2020-11-25T14:35:11Z,38.00963,R+38,Trump +38,republican,38.00963,3019,35.5,3120,5.32,minnesota,2020-11-27T00:46:30.478791Z
27083,Lyon,12893,0,33,33,Merged into voters' home precincts and released with cumulative results,100,12877,>98%,>98% reported,edison,6,all,,2415,,,4634,7979,140,28,21,31,24,29,3,4,0,0,0,0,0,0,0,0,0,0,2020-11-25T14:35:40Z,25.94431,R+26,Trump +26,republican,25.94431,12215,28.1,12388,9.11,minnesota,2020-11-27T00:46:30.478791Z
27087,Mahnomen,2304,0,19,19,Merged into voters' home precincts and released with cumulative results,100,2302,>98%,>98% reported,edison,6,all,,452,,,1112,1142,9,6,6,12,10,2,1,4,0,0,0,0,0,0,0,0,0,0,2020-11-25T14:36:44Z,1.30208,R+1.3,Trump +1.3,republican,1.30208,2088,2.9,2182,-18.56,minnesota,2020-11-27T00:46:30.478791Z
27089,Marshall,5113,0,60,60,Merged into voters' home precincts and released with cumulative results,99,5171,>98%,>98% reported,edison,2,all,,869,,,1295,3721,37,8,15,11,13,12,0,1,0,0,0,0,0,0,0,0,0,0,2020-11-25T14:37:14Z,47.44768,R+47,Trump +47,republican,47.44768,4817,41.2,4698,12.15,minnesota,2020-11-27T00:46:30.478791Z
27091,Martin,11009,5247,37,37,Merged into voters' home precincts and released with cumulative results,94,11686,94%,94% reported,edison,4,all,,2561,,,3305,7480,98,24,20,29,18,30,3,2,2124,3033,43,0,8,15,6,17,0,1,2020-11-25T14:38:03Z,37.92352,R+38,Trump +38,republican,37.92352,10531,41.1,10968,23.73,minnesota,2020-11-27T00:46:30.478791Z
