fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_outstanding,absentee_max_ballots,provisional_outstanding,provisional_count_progress,results_bidenj,results_trumpd,results_jorgensenj,results_blankenshipd,results_hawkinsh,results_de_la_fuenter,results_write_ins,results_absentee_bidenj,results_absentee_trumpd,results_absentee_jorgensenj,results_absentee_blankenshipd,results_absentee_hawkinsh,results_absentee_de_la_fuenter,results_absentee_write_ins,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,margin2020,votes2016,margin2016,votes2012,margin2012,state,retrieved_time
26125,Oakland,771991,512154,516,516,Merged into voters' home precincts and released with cumulative results,99,778418,>98%,>98% reported,edison,6,some,,185030,,,434148,325971,7282,731,1746,331,1782,338173,167317,3911,501,996,190,1066,2020-11-24T13:22:25Z,14.01273,D+14,Biden +14,democrat,-14.01273,668925,-8.1,651607,-8.06,michigan,2020-11-27T00:46:32.907092Z
26127,Oceana,14080,0,18,18,Merged into voters' home precincts and released with cumulative results,100,14080,>98%,>98% reported,edison,6,all,,1675,,,4944,8892,166,27,25,8,18,0,0,0,0,0,0,0,2020-11-24T13:22:27Z,28.03977,R+28,Trump +28,republican,28.03977,11930,27.3,11450,10.27,michigan,2020-11-27T00:46:32.907092Z
26129,Ogemaw,11907,0,17,17,Other,100,11907,>98%,>98% reported,edison,6,all,,1680,,,3475,8253,134,11,26,8,0,0,0,0,0,0,0,0,2020-11-24T13:22:28Z,40.12766,R+40,Trump +40,republican,40.12766,10440,36.4,10361,6.23,michigan,2020-11-27T00:46:32.907092Z
26131,Ontonagon,3810,0,12,12,Merged into voters' home precincts and released with cumulative results,100,3810,>98%,>98% reported,edison,6,all,,546,,,1391,2358,30,8,13,4,6,0,0,0,0,0,0,0,2020-11-24T13:22:31Z,25.38058,R+25,Trump +25,republican,25.38058,3433,25.9,3539,9.04,michigan,2020-11-27T00:46:32.907092Z
26133,Osceola,12340,0,18,18,Merged into voters' home precincts and released with cumulative results,100,12340,>98%,>98% reported,edison,6,all,,1124,,,3214,8928,135,21,28,3,11,0,0,0,0,0,0,0,2020-11-24T13:22:33Z,46.3047,R+46,Trump +46,republican,46.3047,10609,43.7,10278,21.02,michigan,2020-11-27T00:46:32.907092Z
26135,Oscoda,4874,0,7,7,Merged into voters' home precincts and released with cumulative results,100,4874,>98%,>98% reported,edison,6,all,,718,,,1342,3466,39,12,11,4,0,0,0,0,0,0,0,0,2020-11-24T13:22:34Z,43.57817,R+44,Trump +44,republican,43.57817,4092,44,4042,16.11,michigan,2020-11-27T00:46:32.907092Z
26137,Otsego,14756,0,13,13,Merged into voters' home precincts and released with cumulative results,100,14756,>98%,>98% reported,edison,6,all,,2248,,,4743,9779,177,23,26,8,0,0,0,0,0,0,0,0,2020-11-24T13:22:35Z,34.12849,R+34,Trump +34,republican,34.12849,12610,37.4,11855,19.65,michigan,2020-11-27T00:46:32.907092Z
26139,Ottawa,168627,0,109,109,Merged into voters' home precincts and released with cumulative results,100,168074,>98%,>98% reported,edison,6,unknown,,30199,,,64705,100913,2315,215,367,112,,0,0,0,0,0,0,,2020-11-24T13:22:36Z,21.47224,R+21,Trump +21,republican,21.47224,143848,30.2,132312,34.33,michigan,2020-11-27T00:46:32.907092Z
26141,Presque Isle,8355,0,17,17,Merged into voters' home precincts and released with cumulative results,100,8360,>98%,>98% reported,edison,6,all,,1106,,,2911,5342,70,10,5,4,13,0,0,0,0,0,0,0,2020-11-24T13:22:37Z,29.09635,R+29,Trump +29,republican,29.09635,7257,28.8,7080,8.5,michigan,2020-11-27T00:46:32.907092Z
26143,Roscommon,15018,0,14,14,Merged into voters' home precincts and released with cumulative results,96,15685,96%,96% reported,edison,6,unknown,,3583,,,5166,9670,121,29,25,7,0,0,0,0,0,0,0,0,2020-11-24T13:22:38Z,29.99068,R+30,Trump +30,republican,29.99068,13096,29.4,13032,3.86,michigan,2020-11-27T00:46:32.907092Z
26145,Saginaw,103347,0,85,85,None,100,103326,>98%,>98% reported,edison,6,unknown,,15042,,,51088,50785,1007,160,231,76,,0,0,0,0,0,0,,2020-11-24T13:22:40Z,0.29319,D+0.29,Biden +0.29,democrat,-0.29319,94780,1.1,98062,-11.89,michigan,2020-11-27T00:46:32.907092Z
26151,Sanilac,22446,0,31,31,Merged into voters' home precincts and released with cumulative results,100,22446,>98%,>98% reported,edison,6,unknown,,2627,,,5966,16194,213,22,40,11,0,0,0,0,0,0,0,0,2020-11-24T13:22:43Z,45.56714,R+46,Trump +46,republican,45.56714,19249,44.5,18369,20.42,michigan,2020-11-27T00:46:32.907092Z
26153,Schoolcraft,4745,0,11,11,Merged into voters' home precincts and released with cumulative results,100,4745,>98%,>98% reported,edison,6,unknown,,391,,,1589,3090,40,10,12,4,0,0,0,0,0,0,0,0,2020-11-24T13:22:44Z,31.6333,R+32,Trump +32,republican,31.6333,4177,28.4,4048,6.84,michigan,2020-11-27T00:46:32.907092Z
