fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_outstanding,absentee_max_ballots,provisional_outstanding,provisional_count_progress,results_trumpd,results_bidenj,results_jorgensenj,results_westk,results_blankenshipd,results_hawkinsh,results_kennedya,results_la_rivag,results_de_la_fuenter,results_write_ins,results_absentee_trumpd,results_absentee_bidenj,results_absentee_jorgensenj,results_absentee_westk,results_absentee_blankenshipd,results_absentee_hawkinsh,results_absentee_kennedya,results_absentee_la_rivag,results_absentee_de_la_fuenter,results_absentee_write_ins,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,margin2020,votes2016,margin2016,votes2012,margin2012,state,retrieved_time
47149,Rutherford,143931,62816,28,28,Released as a precinct as first report of the night,100,143888,>98%,>98% reported,edison,6,all,,92338,,,81373,59189,1844,439,235,279,104,54,87,327,9401,51086,1286,276,182,192,70,35,60,228,2020-11-11T03:25:54Z,15.41294,R+15,Trump +15,republican,15.41294,107436,25.9,98848,24.72,tennessee,2020-11-13T00:39:23.881716Z
47151,Scott,9052,0,10,10,Released as a precinct as first report of the night,99,9100,>98%,>98% reported,edison,2,unknown,,4059,,,8004,986,32,15,7,2,5,0,1,,0,0,0,0,0,0,0,0,0,,2020-11-11T03:25:54Z,77.52983,R+78,Trump +78,republican,77.52983,7123,71.7,6668,54.96,tennessee,2020-11-13T00:39:23.881716Z
47153,Sequatchie,7239,0,9,9,Released with cumulative results periodically election night,100,6844,>98%,>98% reported,edison,2,unknown,,3896,,,5846,1295,64,14,5,11,3,1,0,,0,0,0,0,0,0,0,0,0,,2020-11-11T03:25:54Z,62.8678,R+63,Trump +63,republican,62.8678,5694,59.5,5142,39.91,tennessee,2020-11-13T00:39:23.881716Z
47155,Sevier,43574,26912,25,25,Released as a separate subtotal as first report of the night,100,43574,>98%,>98% reported,edison,6,all,,21134,,,33742,8695,402,306,111,57,83,46,23,109,20489,5910,180,135,45,32,37,27,6,51,2020-11-11T03:25:43Z,57.48153,R+57,Trump +57,republican,57.48153,36312,61.5,33864,54.83,tennessee,2020-11-13T00:39:23.881716Z
47157,Shelby,381858,300346,162,166,Released as a separate subtotal as first report of the night,100,354551,>98%,>98% reported,edison,6,all,,235670,,,129543,245208,2418,1598,669,574,240,229,219,1160,102806,192733,1676,1001,480,390,180,155,146,779,2020-11-11T03:25:45Z,30.29006,D+30,Biden +30,democrat,-30.29006,337383,-27.5,371109,-26.08,tennessee,2020-11-13T00:39:23.881716Z
47159,Smith,9035,0,8,8,Released as a separate subtotal as first report of the night,100,9070,>98%,>98% reported,edison,2,unknown,,5310,,,7124,1798,62,9,19,11,7,2,3,,0,0,0,0,0,0,0,0,0,,2020-11-11T03:25:46Z,58.94853,R+59,Trump +59,republican,58.94853,7436,51.2,7087,28.57,tennessee,2020-11-13T00:39:23.881716Z
47161,Stewart,6283,0,7,7,Released as a precinct as first report of the night,99,6369,>98%,>98% reported,edison,2,unknown,,3975,,,4942,1230,65,12,9,11,6,6,2,,0,0,0,0,0,0,0,0,0,,2020-11-11T03:25:47Z,59.08006,R+59,Trump +59,republican,59.08006,5299,49.9,5115,17.48,tennessee,2020-11-13T00:39:23.881716Z
47163,Sullivan,74206,0,25,25,Released as a separate subtotal as first report of the night,96,77253,96%,96% reported,edison,2,unknown,,48525,,,55774,17226,773,135,122,89,32,20,35,,0,0,0,0,0,0,0,0,0,,2020-11-11T03:25:47Z,51.94728,R+52,Trump +52,republican,51.94728,62278,55.2,59887,47.16,tennessee,2020-11-13T00:39:23.881716Z
47165,Sumner,92529,0,28,28,Released as a separate subtotal as first report of the night,100,88709,>98%,>98% reported,edison,2,unknown,,50299,,,63404,27630,940,174,136,112,59,25,49,,0,0,0,0,0,0,0,0,0,,2020-11-11T03:25:48Z,38.66247,R+39,Trump +39,republican,38.66247,71505,44.7,65366,41.95,tennessee,2020-11-13T00:39:23.881716Z
47167,Tipton,27291,0,9,9,"As a precinct in the FIRST cumulative report, along with regular precincts",94,28943,94%,94% reported,edison,4,all,,16570,,,20063,6832,224,55,46,28,21,9,13,,0,0,0,0,0,0,0,0,0,,2020-11-11T03:25:38Z,48.48118,R+48,Trump +48,republican,48.48118,23481,47.4,24081,39.61,tennessee,2020-11-13T00:39:23.881716Z
47169,Trousdale,3991,0,10,10,Released as a separate subtotal as first report of the night,100,3798,>98%,>98% reported,edison,2,unknown,,2363,,,2930,1011,35,9,2,2,2,0,0,,0,0,0,0,0,0,0,0,0,,2020-11-11T03:25:39Z,48.08319,R+48,Trump +48,republican,48.08319,3160,36.6,2905,12.81,tennessee,2020-11-13T00:39:23.881716Z
47171,Unicoi,8294,0,8,8,Released as a separate subtotal as first report of the night,96,8648,96%,96% reported,edison,2,unknown,,5666,,,6593,1610,50,14,15,6,3,1,2,,0,0,0,0,0,0,0,0,0,,2020-11-11T03:25:40Z,60.07958,R+60,Trump +60,republican,60.07958,7195,61.3,7086,44.02,tennessee,2020-11-13T00:39:23.881716Z
47173,Union,8096,0,9,9,Released as a separate subtotal as first report of the night,100,7247,>98%,>98% reported,edison,2,unknown,,2568,,,6777,1248,44,8,9,6,2,0,2,,0,0,0,0,0,0,0,0,0,,2020-11-11T03:25:43Z,68.29298,R+68,Trump +68,republican,68.29298,6247,64.7,5828,48.11,tennessee,2020-11-13T00:39:23.881716Z
47175,Van Buren,2917,0,7,7,Released as a separate subtotal as first report of the night,100,2806,>98%,>98% reported,edison,2,unknown,,1663,,,2338,544,23,6,1,2,2,0,1,,0,0,0,0,0,0,0,0,0,,2020-11-11T03:25:44Z,61.50154,R+62,Trump +62,republican,61.50154,2419,53,2300,22.22,tennessee,2020-11-13T00:39:23.881716Z
47177,Warren,16692,0,20,20,Released as a separate subtotal as first report of the night,100,16361,>98%,>98% reported,edison,2,unknown,,9152,,,12323,4126,125,43,23,25,10,8,9,,0,0,0,0,0,0,0,0,0,,2020-11-11T03:25:45Z,49.10736,R+49,Trump +49,republican,49.10736,13612,44.1,13015,25.03,tennessee,2020-11-13T00:39:23.881716Z
47179,Washington,59430,4456,35,35,Other,100,59430,>98%,>98% reported,edison,6,some,,36497,,,40120,18214,659,105,103,103,50,43,33,,1969,2427,29,1,9,9,5,4,3,,2020-11-11T03:25:46Z,36.86017,R+37,Trump +37,republican,36.86017,49750,42.7,48032,38.48,tennessee,2020-11-13T00:39:23.881716Z
47181,Wayne,6667,0,14,14,Released as a precinct as first report of the night,98,6794,98%,98% reported,edison,2,unknown,,3409,,,5795,820,27,4,11,5,2,1,2,,0,0,0,0,0,0,0,0,0,,2020-11-11T03:25:47Z,74.62127,R+75,Trump +75,republican,74.62127,5857,73.7,5486,56.33,tennessee,2020-11-13T00:39:23.881716Z
47183,Weakley,13710,0,10,10,Other,90,15306,90%,90% reported,edison,2,unknown,,7542,,,10382,3011,82,111,31,28,34,19,12,,0,0,0,0,0,0,0,0,0,,2020-11-11T03:25:47Z,53.76368,R+54,Trump +54,republican,53.76368,12184,51.2,12337,40.99,tennessee,2020-11-13T00:39:23.881716Z
47185,White,11867,0,11,11,Released as a separate subtotal as first report of the night,100,11395,>98%,>98% reported,edison,2,unknown,,6831,,,9587,2134,106,13,14,9,3,0,1,,0,0,0,0,0,0,0,0,0,,2020-11-11T03:25:48Z,62.80442,R+63,Trump +63,republican,62.80442,9825,59.3,9140,37.22,tennessee,2020-11-13T00:39:23.881716Z
47187,Williamson,138932,110229,25,25,Released as a separate subtotal as first report of the night,100,123265,>98%,>98% reported,edison,2,some,,104306,,,86469,50161,1494,257,276,116,37,34,88,,69604,39027,1028,180,205,81,22,21,61,,2020-11-11T03:25:50Z,26.13365,R+26,Trump +26,republican,26.13365,106271,35,96225,46.46,tennessee,2020-11-13T00:39:23.881716Z
47189,Wilson,74092,0,18,18,None,100,74092,>98%,>98% reported,edison,6,none,,50009,,,50149,22197,778,446,162,81,126,102,51,,0,0,0,0,0,0,0,0,0,,2020-11-11T03:25:51Z,37.72607,R+38,Trump +38,republican,37.72607,56734,44.1,51499,41.58,tennessee,2020-11-13T00:39:23.881716Z
