fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_outstanding,absentee_max_ballots,provisional_outstanding,provisional_count_progress,results_tillist,results_cunninghamc,results_brays,results_hayesk,results_absentee_tillist,results_absentee_cunninghamc,results_absentee_brays,results_absentee_hayesk,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,state,retrieved_time
37129,New Hanover,130328,111503,43,43,None,99,131840,>98%,>98% reported,edison,10,unknown,,105584,,,61421,61706,5516,1685,51361,54730,4162,1250,2020-11-18T03:54:03Z,0.21868,D+0.22,Cunningham +0.22,democrat,north-carolina,2020-11-20T00:45:40.149237Z
37131,Northampton,10011,7598,13,13,"As a subtotal in the FIRST cumulative report, along with regular precincts",99,10109,>98%,>98% reported,edison,10,unknown,,9862,,,3720,6005,187,99,2478,4933,121,66,2020-11-18T03:54:23Z,22.82489,D+23,Cunningham +23,democrat,north-carolina,2020-11-20T00:45:40.149237Z
37133,Onslow,71202,55843,24,24,Released as a precinct as first report of the night,99,72235,>98%,>98% reported,edison,10,none,,47952,,,42868,23344,3627,1363,32807,19589,2485,962,2020-11-18T03:54:45Z,27.42058,R+27,Tillis +27,republican,north-carolina,2020-11-20T00:45:40.149237Z
37135,Orange,84525,75405,41,41,Released as a precinct as first report of the night,99,84997,>98%,>98% reported,edison,10,unknown,,86510,,,20862,61214,1961,488,16115,57329,1592,369,2020-11-18T03:55:06Z,47.73972,D+48,Cunningham +48,democrat,north-carolina,2020-11-20T00:45:40.149237Z
37137,Pamlico,7581,5860,10,10,Released as a separate subtotal as first report of the night,99,7631,>98%,>98% reported,edison,10,unknown,,7046,,,4589,2681,188,123,3372,2287,122,79,2020-11-18T03:55:29Z,25.16818,R+25,Tillis +25,republican,north-carolina,2020-11-20T00:45:40.149237Z
37139,Pasquotank,19648,15927,9,9,Released as a precinct as first report of the night,99,19897,>98%,>98% reported,edison,10,some,,20120,,,9491,9421,538,198,7181,8236,368,142,2020-11-18T03:55:54Z,0.35627,R+0.36,Tillis +0.36,republican,north-carolina,2020-11-20T00:45:40.149237Z
37141,Pender,33759,28981,19,19,Released as a precinct as first report of the night,99,34169,>98%,>98% reported,edison,10,all,,27966,,,20660,11272,1274,553,17640,9923,983,435,2020-11-18T03:56:19Z,27.80888,R+28,Tillis +28,republican,north-carolina,2020-11-20T00:45:40.149237Z
37143,Perquimans,7426,6180,7,7,Released as a precinct as first report of the night,99,7484,>98%,>98% reported,edison,10,unknown,,6298,,,4817,2382,139,88,3945,2059,109,67,2020-11-18T03:56:40Z,32.7902,R+33,Tillis +33,republican,north-carolina,2020-11-20T00:45:40.149237Z
37145,Person,21582,17496,11,11,Released as a separate subtotal as first report of the night,99,21894,>98%,>98% reported,edison,10,some,,21096,,,12192,8475,600,315,9485,7327,446,238,2020-11-18T03:57:01Z,17.22269,R+17,Tillis +17,republican,north-carolina,2020-11-20T00:45:40.149237Z
37147,Pitt,86901,71856,40,40,Released as a precinct as first report of the night,99,87573,>98%,>98% reported,edison,10,unknown,,82850,,,37947,45598,2510,846,30064,39270,1904,618,2020-11-18T03:57:27Z,8.80427,D+9,Cunningham +9,democrat,north-carolina,2020-11-20T00:45:40.149237Z
37149,Polk,12252,9628,7,7,Released as a separate subtotal as first report of the night,99,12358,>98%,>98% reported,edison,10,unknown,,11688,,,7394,4436,286,136,5400,3929,210,89,2020-11-18T03:57:48Z,24.143,R+24,Tillis +24,republican,north-carolina,2020-11-20T00:45:40.149237Z
37151,Randolph,72570,57466,11,22,Released as a separate subtotal as first report of the night,99,73316,>98%,>98% reported,edison,10,unknown,,49222,,,53357,15973,2097,1143,41953,13188,1504,821,2020-11-18T03:58:13Z,51.5144,R+52,Tillis +52,republican,north-carolina,2020-11-20T00:45:40.149237Z
37153,Richmond,20430,16140,16,16,Released as a precinct as first report of the night,98,20763,98%,98% reported,edison,10,all,,17301,,,11002,8510,566,352,8557,6884,441,258,2020-11-18T03:58:34Z,12.19775,R+12,Tillis +12,republican,north-carolina,2020-11-20T00:45:40.149237Z
37155,Robeson,45949,30313,39,39,Released as a precinct as first report of the night,97,47188,97%,97% reported,edison,10,unknown,,29189,,,25211,19135,955,648,15014,14316,596,387,2020-11-18T03:58:57Z,13.22336,R+13,Tillis +13,republican,north-carolina,2020-11-20T00:45:40.149237Z
37157,Rockingham,47313,37113,15,15,Released as a precinct as first report of the night,99,47809,>98%,>98% reported,edison,10,all,,38352,,,28971,16189,1473,680,22066,13520,1049,478,2020-11-18T03:59:19Z,27.01583,R+27,Tillis +27,republican,north-carolina,2020-11-20T00:45:40.149237Z
37159,Rowan,72748,56848,41,41,Released as a separate subtotal as first report of the night,99,73408,>98%,>98% reported,edison,10,unknown,,57107,,,46446,22615,2254,1433,35585,18654,1587,1022,2020-11-18T03:59:52Z,32.75829,R+33,Tillis +33,republican,north-carolina,2020-11-20T00:45:40.149237Z
37161,Rutherford,34067,25582,17,17,Released as a separate subtotal as first report of the night,99,34429,>98%,>98% reported,edison,10,unknown,,27253,,,23596,9136,781,554,17157,7545,517,363,2020-11-18T04:00:20Z,42.44577,R+42,Tillis +42,republican,north-carolina,2020-11-20T00:45:40.149237Z
37163,Sampson,28360,23047,23,23,None,99,28618,>98%,>98% reported,edison,10,some,,23014,,,16521,10818,636,385,13164,9107,481,295,2020-11-18T04:00:44Z,20.10931,R+20,Tillis +20,republican,north-carolina,2020-11-20T00:45:40.149237Z
37165,Scotland,14461,11781,7,7,"As a precinct in the FIRST cumulative report, along with regular precincts",98,14775,98%,98% reported,edison,10,unknown,,14203,,,7066,6850,322,223,5614,5756,240,171,2020-11-18T04:01:06Z,1.49367,R+1.5,Tillis +1.5,republican,north-carolina,2020-11-20T00:45:40.149237Z
37167,Stanly,33571,26823,22,22,Released as a separate subtotal as first report of the night,99,33939,>98%,>98% reported,edison,10,unknown,,26976,,,23891,8045,961,674,19032,6565,712,514,2020-11-18T04:01:33Z,47.20145,R+47,Tillis +47,republican,north-carolina,2020-11-20T00:45:40.149237Z
37169,Stokes,25479,18032,18,18,Released as a precinct as first report of the night,99,25702,>98%,>98% reported,edison,10,unknown,,16251,,,18598,5611,812,458,12829,4385,510,308,2020-11-18T04:01:57Z,50.97139,R+51,Tillis +51,republican,north-carolina,2020-11-20T00:45:40.149237Z
37171,Surry,36303,29411,24,24,Released as a precinct as first report of the night,99,36638,>98%,>98% reported,edison,10,unknown,,29027,,,25475,9267,1030,531,20347,7897,772,395,2020-11-18T04:02:21Z,44.64645,R+45,Tillis +45,republican,north-carolina,2020-11-20T00:45:40.149237Z
37173,Swain,6971,5331,5,5,Released as a separate subtotal as first report of the night,99,7068,>98%,>98% reported,edison,10,unknown,,5091,,,3846,2696,298,131,2792,2237,208,94,2020-11-18T04:02:46Z,16.49692,R+16,Tillis +16,republican,north-carolina,2020-11-20T00:45:40.149237Z
