fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_outstanding,absentee_max_ballots,provisional_outstanding,provisional_count_progress,results_roundsm,results_ahlersd,results_absentee_roundsm,results_absentee_ahlersd,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,state,retrieved_time
46077,Kingsbury,2779,0,7,7,Merged into voters' home precincts and released with cumulative results,100,2779,>98%,>98% reported,edison,10,unknown,,618,,,1970,809,0,0,2020-11-16T15:47:50Z,41.77762,R+42,Rounds +42,republican,south-dakota,2020-11-19T00:45:57.146196Z
46079,Lake,5885,0,10,10,Merged into voters' home precincts and released with cumulative results,100,5885,>98%,>98% reported,edison,10,unknown,,3936,,,3816,2069,0,0,2020-11-16T15:47:50Z,29.68564,R+30,Rounds +30,republican,south-dakota,2020-11-19T00:45:57.146196Z
46081,Lawrence,13743,0,11,11,Released as a precinct in the middle of the night,99,13828,>98%,>98% reported,edison,10,all,,6941,,,9385,4358,0,0,2020-11-16T15:47:50Z,36.57862,R+37,Rounds +37,republican,south-dakota,2020-11-19T00:45:57.146196Z
46083,Lincoln,32234,0,31,31,Merged into voters' home precincts and released with cumulative results,99,32396,>98%,>98% reported,edison,10,all,,8870,,,21221,11013,0,0,2020-11-16T15:47:50Z,31.66842,R+32,Rounds +32,republican,south-dakota,2020-11-19T00:45:57.146196Z
46085,Lyman,1599,0,7,7,Merged into voters' home precincts and released with cumulative results,100,1599,>98%,>98% reported,edison,10,unknown,,136,,,1066,533,0,0,2020-11-16T15:47:51Z,33.33333,R+33,Rounds +33,republican,south-dakota,2020-11-19T00:45:57.146196Z
46091,Marshall,2187,0,9,9,Merged into voters' home precincts and released with cumulative results,100,2187,>98%,>98% reported,edison,10,unknown,,680,,,1334,853,0,0,2020-11-16T15:47:51Z,21.9936,R+22,Rounds +22,republican,south-dakota,2020-11-19T00:45:57.146196Z
46087,McCook,2907,0,6,6,Merged into voters' home precincts and released with cumulative results,100,2907,>98%,>98% reported,edison,10,unknown,,744,,,2072,835,0,0,2020-11-16T15:47:51Z,42.55246,R+43,Rounds +43,republican,south-dakota,2020-11-19T00:45:57.146196Z
46089,McPherson,1321,0,6,6,Merged into voters' home precincts and released with cumulative results,100,1324,>98%,>98% reported,edison,10,unknown,,683,,,1086,235,0,0,2020-11-16T15:47:51Z,64.42089,R+64,Rounds +64,republican,south-dakota,2020-11-19T00:45:57.146196Z
46093,Meade,13531,0,37,37,Merged into voters' home precincts and released with cumulative results,99,13670,>98%,>98% reported,edison,10,unknown,,3994,,,10355,3176,0,0,2020-11-16T15:47:52Z,53.05595,R+53,Rounds +53,republican,south-dakota,2020-11-19T00:45:57.146196Z
46095,Mellette,771,0,4,4,Merged into voters' home precincts and released with cumulative results,100,771,>98%,>98% reported,edison,10,unknown,,290,,,468,303,0,0,2020-11-16T15:47:52Z,21.40078,R+21,Rounds +21,republican,south-dakota,2020-11-19T00:45:57.146196Z
46097,Miner,1146,0,8,8,Merged into voters' home precincts and released with cumulative results,100,1146,>98%,>98% reported,edison,10,unknown,,322,,,807,339,0,0,2020-11-16T15:47:52Z,40.8377,R+41,Rounds +41,republican,south-dakota,2020-11-19T00:45:57.146196Z
46099,Minnehaha,91572,0,71,71,Merged into voters' home precincts and released with cumulative results,99,92326,>98%,>98% reported,edison,10,none,,25270,,,52773,38799,0,0,2020-11-16T15:47:52Z,15.26012,R+15,Rounds +15,republican,south-dakota,2020-11-19T00:45:57.146196Z
46101,Moody,3220,0,6,6,Merged into voters' home precincts and released with cumulative results,100,3220,>98%,>98% reported,edison,10,unknown,,768,,,1877,1343,0,0,2020-11-16T15:47:53Z,16.58385,R+17,Rounds +17,republican,south-dakota,2020-11-19T00:45:57.146196Z
46102,Oglala Lakota,3201,0,9,9,None,100,3201,>98%,>98% reported,edison,10,unknown,,1106,,,510,2691,0,0,2020-11-16T15:47:55Z,68.13496,D+68,Ahlers +68,democrat,south-dakota,2020-11-19T00:45:57.146196Z
46103,Pennington,56878,0,47,47,Merged into voters' home precincts and released with cumulative results,99,57518,>98%,>98% reported,edison,10,all,,8515,,,37694,19184,0,0,2020-11-16T15:47:53Z,32.54334,R+33,Rounds +33,republican,south-dakota,2020-11-19T00:45:57.146196Z
46105,Perkins,1644,0,10,10,Merged into voters' home precincts and released with cumulative results,99,1669,>98%,>98% reported,edison,10,unknown,,453,,,1395,249,0,0,2020-11-16T15:47:53Z,69.70803,R+70,Rounds +70,republican,south-dakota,2020-11-19T00:45:57.146196Z
46107,Potter,1384,0,3,3,Released as a precinct in the middle of the night,100,1384,>98%,>98% reported,edison,10,unknown,,454,,,1160,224,0,0,2020-11-16T15:47:54Z,67.63006,R+68,Rounds +68,republican,south-dakota,2020-11-19T00:45:57.146196Z
46109,Roberts,4296,0,12,12,Merged into voters' home precincts and released with cumulative results,100,4307,>98%,>98% reported,edison,10,unknown,,966,,,2529,1767,0,0,2020-11-16T15:47:54Z,17.73743,R+18,Rounds +18,republican,south-dakota,2020-11-19T00:45:57.146196Z
46111,Sanborn,1179,0,4,4,Merged into voters' home precincts and released with cumulative results,99,1185,>98%,>98% reported,edison,10,unknown,,237,,,898,281,0,0,2020-11-16T15:47:55Z,52.33249,R+52,Rounds +52,republican,south-dakota,2020-11-19T00:45:57.146196Z
46115,Spink,3164,0,9,9,Merged into voters' home precincts and released with cumulative results,100,3164,>98%,>98% reported,edison,10,unknown,,856,,,2178,986,0,0,2020-11-16T15:47:56Z,37.67383,R+38,Rounds +38,republican,south-dakota,2020-11-19T00:45:57.146196Z
46117,Stanley,1652,0,3,3,Merged into voters' home precincts and released with cumulative results,100,1652,>98%,>98% reported,edison,10,unknown,,144,,,1274,378,0,0,2020-11-16T15:47:57Z,54.23729,R+54,Rounds +54,republican,south-dakota,2020-11-19T00:45:57.146196Z
46119,Sully,927,0,4,4,Released as a separate subtotal at the end of tabulation,100,930,>98%,>98% reported,edison,10,unknown,,234,,,759,168,0,0,2020-11-16T15:47:57Z,63.75405,R+64,Rounds +64,republican,south-dakota,2020-11-19T00:45:57.146196Z
46121,Todd,2502,0,9,9,Merged into voters' home precincts and released with cumulative results,99,2539,>98%,>98% reported,edison,10,unknown,,358,,,706,1796,0,0,2020-11-16T15:47:57Z,43.56515,D+44,Ahlers +44,democrat,south-dakota,2020-11-19T00:45:57.146196Z
46123,Tripp,2690,0,13,13,Merged into voters' home precincts and released with cumulative results,100,2696,>98%,>98% reported,edison,10,unknown,,750,,,2188,502,0,0,2020-11-16T15:47:57Z,62.67658,R+63,Rounds +63,republican,south-dakota,2020-11-19T00:45:57.146196Z
46125,Turner,4542,0,8,8,Merged into voters' home precincts and released with cumulative results,100,4548,>98%,>98% reported,edison,10,unknown,,906,,,3416,1126,0,0,2020-11-16T15:47:58Z,50.41832,R+50,Rounds +50,republican,south-dakota,2020-11-19T00:45:57.146196Z
46127,Union,8771,0,13,13,Merged into voters' home precincts and released with cumulative results,99,8855,>98%,>98% reported,edison,10,all,,2523,,,6364,2407,0,0,2020-11-16T15:47:58Z,45.11458,R+45,Rounds +45,republican,south-dakota,2020-11-19T00:45:57.146196Z
46129,Walworth,2565,0,10,10,None,99,2580,>98%,>98% reported,edison,10,unknown,,573,,,2040,525,0,0,2020-11-16T15:47:58Z,59.06433,R+59,Rounds +59,republican,south-dakota,2020-11-19T00:45:57.146196Z
46135,Yankton,10842,0,7,7,Released as a precinct at the end of tabulation,99,10900,>98%,>98% reported,edison,10,none,,6408,,,6994,3848,0,0,2020-11-16T15:47:59Z,29.01679,R+29,Rounds +29,republican,south-dakota,2020-11-19T00:45:57.146196Z
46137,Ziebach,908,0,6,6,Merged into voters' home precincts and released with cumulative results,100,908,>98%,>98% reported,edison,10,unknown,,130,,,450,458,0,0,2020-11-16T15:47:59Z,0.88106,D+0.88,Ahlers +0.88,democrat,south-dakota,2020-11-19T00:45:57.146196Z
