fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_outstanding,absentee_max_ballots,provisional_outstanding,provisional_count_progress,results_bidenj,results_trumpd,results_jorgensenj,results_hawkinsh,results_westk,results_blankenshipd,results_hammonsb,results_charlesm,results_carrollb,results_kopitkek,results_la_rivag,results_de_la_fuenter,results_mchughj,results_pierceb,results_collinsp,results_jacob_fambrop,results_huberb,results_hunterd,results_kennedya,results_scottj,results_kishorej,results_write_ins,results_absentee_bidenj,results_absentee_trumpd,results_absentee_jorgensenj,results_absentee_hawkinsh,results_absentee_westk,results_absentee_blankenshipd,results_absentee_hammonsb,results_absentee_charlesm,results_absentee_carrollb,results_absentee_kopitkek,results_absentee_la_rivag,results_absentee_de_la_fuenter,results_absentee_mchughj,results_absentee_pierceb,results_absentee_collinsp,results_absentee_jacob_fambrop,results_absentee_huberb,results_absentee_hunterd,results_absentee_kennedya,results_absentee_scottj,results_absentee_kishorej,results_absentee_write_ins,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,margin2020,votes2016,margin2016,votes2012,margin2012,state,retrieved_time
08019,Clear Creek,6290,0,8,9,Other,92,6824,92%,92% reported,edison,2,some,,,,,3495,2618,107,20,10,9,2,7,5,1,2,2,3,0,2,0,1,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-11-04T10:43:46Z,13.94277,D+14,Biden +14,democrat,-13.94277,5866,-2.6,5743,-12,colorado,2020-11-10T19:32:37.064897Z
08021,Conejos,4291,0,9,10,Other,100,4113,>98%,>98% reported,edison,6,all,,,,,1936,2269,32,9,10,15,1,5,2,0,2,4,2,0,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-11-04T10:43:46Z,7.76043,R+8,Trump +8,republican,7.76043,4022,3.6,4101,-9.22,colorado,2020-11-10T19:32:37.064897Z
08023,Costilla,2031,0,7,8,Other,93,2181,93%,93% reported,edison,4,some,,,,,1279,713,13,4,5,8,2,2,0,1,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-11-04T10:43:47Z,27.86805,D+28,Biden +28,democrat,-27.86805,1848,-29.1,1837,-48.67,colorado,2020-11-10T19:32:37.064897Z
08025,Crowley,1730,0,6,6,Other,100,1675,>98%,>98% reported,edison,4,all,,,,,427,1262,21,0,8,3,3,2,0,0,0,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-11-04T10:43:48Z,48.2659,R+48,Trump +48,republican,48.2659,1527,48.5,1502,25.9,colorado,2020-11-10T19:32:37.064897Z
08027,Custer,3586,0,3,3,Other,99,3618,>98%,>98% reported,edison,4,all,,,,,1104,2433,29,5,0,5,4,1,2,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-11-04T20:15:43Z,37.06079,R+37,Trump +37,republican,37.06079,3066,41.2,2715,33.89,colorado,2020-11-10T19:32:37.064897Z
08029,Delta,19272,0,19,20,Other,97,19812,97%,97% reported,edison,4,all,,,,,5862,13013,218,44,30,34,10,12,6,6,2,3,4,5,5,2,9,4,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-11-04T10:43:50Z,37.10565,R+37,Trump +37,republican,37.10565,16790,45.1,15925,39.52,colorado,2020-11-10T19:32:37.064897Z
08031,Denver,350606,0,318,356,Other,90,391585,90%,90% reported,edison,2,some,,,,,283816,59610,3966,980,729,265,188,151,200,55,222,50,26,47,49,70,46,38,50,12,35,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-11-06T23:25:35Z,63.94814,D+64,Biden +64,democrat,-63.94814,331852,-54.8,301694,-49.36,colorado,2020-11-10T19:32:37.064897Z
08033,Dolores,1431,0,4,4,Other,100,1389,>98%,>98% reported,edison,6,all,,,,,332,1080,5,1,3,5,1,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-11-04T10:43:51Z,52.27114,R+52,Trump +52,republican,52.27114,1255,55.9,1245,42.17,colorado,2020-11-10T19:32:37.064897Z
08035,Douglas,230478,0,169,169,Other,100,222171,>98%,>98% reported,edison,6,all,,,,,104199,120661,3683,426,468,301,208,74,195,37,30,33,38,39,19,20,13,10,10,9,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-11-06T23:09:35Z,7.14255,R+7,Trump +7,republican,7.14255,187500,18.1,168084,25.76,colorado,2020-11-10T19:32:37.064897Z
08037,Eagle,28427,0,29,30,Other,100,28427,>98%,>98% reported,edison,6,some,,,,,18095,9685,373,76,74,34,30,16,10,5,3,3,3,6,3,1,2,3,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-11-04T10:43:51Z,29.58455,D+30,Biden +30,democrat,-29.58455,25223,-20.3,22668,-14.92,colorado,2020-11-10T19:32:37.064897Z
