fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_outstanding,absentee_max_ballots,provisional_outstanding,provisional_count_progress,results_trumpd,results_bidenj,results_westk,results_jorgensenj,results_collinsp,results_hawkinsh,results_carrollb,results_blankenshipd,results_pierceb,results_write_ins,results_absentee_trumpd,results_absentee_bidenj,results_absentee_westk,results_absentee_jorgensenj,results_absentee_collinsp,results_absentee_hawkinsh,results_absentee_carrollb,results_absentee_blankenshipd,results_absentee_pierceb,results_absentee_write_ins,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,margin2020,votes2016,margin2016,votes2012,margin2012,state,retrieved_time
28045,Hancock,20957,0,25,25,None,100,20957,>98%,>98% reported,edison,10,unknown,,860,,,16132,4504,43,183,16,23,20,25,11,0,0,0,0,0,0,0,0,0,0,0,2020-11-16T15:47:52Z,55.48504,R+55,Trump +55,republican,55.48504,17637,59.3,17167,52.7,mississippi,2020-11-19T00:42:46.792655Z
28047,Harrison,75865,0,53,53,None,100,75865,>98%,>98% reported,edison,10,unknown,,2776,,,46822,27728,182,726,82,101,40,57,30,97,0,0,0,0,0,0,0,0,0,0,2020-11-16T15:47:53Z,25.16839,R+25,Trump +25,republican,25.16839,63313,30.3,63328,25.82,mississippi,2020-11-19T00:42:46.792655Z
28049,Hinds,100191,0,108,108,Merged into voters' home precincts and released with cumulative results,86,117140,86%,86% reported,edison,2,none,,2988,,,25141,73550,422,396,114,110,116,86,60,196,0,0,0,0,0,0,0,0,0,0,2020-11-18T23:45:37Z,48.31672,D+48,Biden +48,democrat,-48.31672,95077,-44.5,106491,-43.62,mississippi,2020-11-19T00:42:46.792655Z
28051,Holmes,6542,0,15,15,None,100,6542,>98%,>98% reported,edison,6,none,,726,,,1196,5182,44,25,13,13,25,17,14,13,0,0,0,0,0,0,0,0,0,0,2020-11-16T15:47:55Z,60.92938,D+61,Biden +61,democrat,-60.92938,8076,-66.6,9288,-68.66,mississippi,2020-11-19T00:42:46.792655Z
28053,Humphreys,4189,0,13,13,Merged into voters' home precincts and released with cumulative results,100,4189,>98%,>98% reported,edison,10,unknown,,214,,,1118,3016,20,10,3,4,7,7,4,0,0,0,0,0,0,0,0,0,0,0,2020-11-17T02:11:33Z,45.30914,D+45,Biden +45,democrat,-45.30914,4253,-45.1,5212,-50.08,mississippi,2020-11-19T00:42:46.792655Z
28055,Issaquena,676,0,5,5,None,99,682,>98%,>98% reported,edison,10,all,,64,,,308,355,1,5,1,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,2020-11-16T15:47:57Z,6.95266,D+7,Biden +7,democrat,-6.95266,699,-13.9,787,-22.49,mississippi,2020-11-19T00:42:46.792655Z
28057,Itawamba,10826,0,28,28,Merged into voters' home precincts and released with cumulative results,100,10826,>98%,>98% reported,edison,10,unknown,,362,,,9438,1249,15,79,11,15,2,7,3,7,0,0,0,0,0,0,0,0,0,0,2020-11-16T17:41:03Z,75.64197,R+76,Trump +76,republican,75.64197,9737,75.5,9318,61.03,mississippi,2020-11-19T00:42:46.792655Z
28059,Jackson,54623,0,32,32,None,100,54623,>98%,>98% reported,edison,10,unknown,,1386,,,36295,17375,125,474,49,76,49,63,37,80,0,0,0,0,0,0,0,0,0,0,2020-11-16T17:43:21Z,34.63742,R+35,Trump +35,republican,34.63742,49567,38.3,53655,34.38,mississippi,2020-11-19T00:42:46.792655Z
28061,Jasper,8742,0,17,17,Merged into voters' home precincts and released with cumulative results,100,8754,>98%,>98% reported,edison,10,unknown,,592,,,4302,4341,22,30,10,6,7,13,5,6,0,0,0,0,0,0,0,0,0,0,2020-11-16T15:47:59Z,0.44612,D+0.45,Biden +0.45,democrat,-0.44612,8475,-3.9,9340,-9.68,mississippi,2020-11-19T00:42:46.792655Z
28065,Jeff Davis,6213,0,17,17,None,100,6213,>98%,>98% reported,edison,10,unknown,,578,,,2534,3599,29,16,11,5,6,8,5,0,0,0,0,0,0,0,0,0,0,0,2020-11-16T15:47:59Z,17.14148,D+17,Biden +17,democrat,-17.14148,6237,-20.1,6864,-25.64,mississippi,2020-11-19T00:42:46.792655Z
28063,Jefferson,3911,0,12,12,None,100,3916,>98%,>98% reported,edison,10,unknown,,600,,,531,3327,18,14,1,6,4,6,1,3,0,0,0,0,0,0,0,0,0,0,2020-11-17T02:13:24Z,71.49067,D+71,Biden +71,democrat,-71.49067,3860,-73.8,4433,-78.57,mississippi,2020-11-19T00:42:46.792655Z
28067,Jones,30091,0,37,37,None,100,30091,>98%,>98% reported,edison,10,some,,1822,,,21226,8517,69,169,26,24,21,30,9,0,0,0,0,0,0,0,0,0,0,0,2020-11-16T15:48:00Z,42.23522,R+42,Trump +42,republican,42.23522,28352,43.5,30159,38.05,mississippi,2020-11-19T00:42:46.792655Z
