fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_outstanding,absentee_max_ballots,provisional_outstanding,provisional_count_progress,results_bidenj,results_trumpd,results_jorgensenj,results_hawkinsh,results_pierceb,results_westk,results_de_la_fuenter,results_kennedya,results_la_rivag,results_write_ins,results_absentee_bidenj,results_absentee_trumpd,results_absentee_jorgensenj,results_absentee_hawkinsh,results_absentee_pierceb,results_absentee_westk,results_absentee_de_la_fuenter,results_absentee_kennedya,results_absentee_la_rivag,results_absentee_write_ins,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,margin2020,votes2016,margin2016,votes2012,margin2012,state,retrieved_time
27145,Stearns,84647,0,90,98,Merged into voters' home precincts and released with cumulative results,92,92327,92%,92% reported,edison,2,unknown,,12584,,,31883,50960,1037,276,154,165,136,16,20,,0,0,0,0,0,0,0,0,0,,2020-11-14T16:39:24Z,22.53712,R+23,Trump +23,republican,22.53712,79592,27.7,78477,12.06,minnesota,2020-11-15T00:42:22.498500Z
27147,Steele,21076,8156,25,26,Merged into voters' home precincts and released with cumulative results,95,22248,95%,95% reported,edison,4,some,,3939,,,7917,12656,278,69,39,56,53,5,3,,4443,3577,68,21,8,14,24,1,0,,2020-11-14T16:39:27Z,22.48529,R+22,Trump +22,republican,22.48529,19179,25.8,19124,6.26,minnesota,2020-11-15T00:42:22.498500Z
27149,Stevens,5062,0,21,26,Merged into voters' home precincts and released with cumulative results,100,5060,>98%,>98% reported,edison,6,some,,1073,,,1921,3044,41,18,11,18,4,1,4,0,0,0,0,0,0,0,0,0,0,0,2020-11-14T16:39:29Z,22.18491,R+22,Trump +22,republican,22.18491,5398,12.7,5652,0.42,minnesota,2020-11-15T00:42:22.498500Z
27151,Swift,5185,0,27,30,Merged into voters' home precincts and released with cumulative results,100,5048,>98%,>98% reported,edison,2,unknown,,825,,,1784,3316,42,11,13,9,9,1,0,,0,0,0,0,0,0,0,0,0,,2020-11-14T16:39:30Z,29.54677,R+30,Trump +30,republican,29.54677,4994,25.6,5119,-9.83,minnesota,2020-11-15T00:42:22.498500Z
27153,Todd,13238,0,38,40,Merged into voters' home precincts and released with cumulative results,100,11902,>98%,>98% reported,edison,2,unknown,,2151,,,3286,9755,85,23,30,30,26,1,2,,0,0,0,0,0,0,0,0,0,,2020-11-14T16:39:31Z,48.8669,R+49,Trump +49,republican,48.8669,11993,47.5,11803,16.1,minnesota,2020-11-15T00:42:22.498500Z
27155,Traverse,1864,0,18,20,Merged into voters' home precincts and released with cumulative results,94,1977,94%,94% reported,edison,2,unknown,,405,,,662,1173,12,5,2,6,2,0,2,,0,0,0,0,0,0,0,0,0,,2020-11-14T16:39:32Z,27.41416,R+27,Trump +27,republican,27.41416,1798,23.3,1847,-4.44,minnesota,2020-11-15T00:42:22.498500Z
27157,Wabasha,13097,0,31,33,Merged into voters' home precincts and released with cumulative results,100,13030,>98%,>98% reported,edison,2,unknown,,1953,,,4696,8153,133,33,29,28,21,2,2,,0,0,0,0,0,0,0,0,0,,2020-11-14T16:39:32Z,26.39536,R+26,Trump +26,republican,26.39536,11832,26.4,11763,5.39,minnesota,2020-11-15T00:42:22.498500Z
27159,Wadena,7661,0,24,25,Merged into voters' home precincts and released with cumulative results,100,6881,>98%,>98% reported,edison,2,unknown,,1605,,,2023,5520,54,14,12,20,17,1,0,,0,0,0,0,0,0,0,0,0,,2020-11-14T16:39:34Z,45.64678,R+46,Trump +46,republican,45.64678,6934,45.5,6791,24.31,minnesota,2020-11-15T00:42:22.498500Z
27161,Waseca,10389,0,20,22,Merged into voters' home precincts and released with cumulative results,100,10383,>98%,>98% reported,edison,6,none,,1668,,,3496,6624,123,34,27,42,17,1,0,25,0,0,0,0,0,0,0,0,0,0,2020-11-14T16:39:36Z,30.10877,R+30,Trump +30,republican,30.10877,9653,32.4,9747,7.65,minnesota,2020-11-15T00:42:22.498500Z
27163,Washington,166267,0,82,83,Merged into voters' home precincts and released with cumulative results,99,167313,>98%,>98% reported,edison,2,some,,35973,,,89164,73764,1895,477,267,342,271,34,53,,0,0,0,0,0,0,0,0,0,,2020-11-14T16:39:38Z,9.26221,D+9,Biden +9,democrat,-9.26221,144235,-1.8,142133,-0.75,minnesota,2020-11-15T00:42:22.498500Z
27165,Watonwan,5191,0,19,21,Merged into voters' home precincts and released with cumulative results,100,5076,>98%,>98% reported,edison,2,unknown,,905,,,1987,3103,28,16,14,25,14,2,2,,0,0,0,0,0,0,0,0,0,,2020-11-14T16:39:38Z,21.49875,R+21,Trump +21,republican,21.49875,4998,19.1,5144,0.45,minnesota,2020-11-15T00:42:22.498500Z
27167,Wilkin,3435,0,29,32,Merged into voters' home precincts and released with cumulative results,97,3544,97%,97% reported,edison,4,some,,645,,,1027,2333,41,5,11,12,3,3,0,0,0,0,0,0,0,0,0,0,0,0,2020-11-14T16:39:39Z,38.02038,R+38,Trump +38,republican,38.02038,3302,37.4,3222,19.43,minnesota,2020-11-15T00:42:22.498500Z
27169,Winona,27108,0,44,49,Merged into voters' home precincts and released with cumulative results,86,31439,86%,86% reported,edison,2,unknown,,4157,,,13333,13227,272,80,51,73,62,4,6,,0,0,0,0,0,0,0,0,0,,2020-11-14T16:39:40Z,0.39103,D+0.39,Biden +0.39,democrat,-0.39103,26074,2.9,27232,-12.85,minnesota,2020-11-15T00:42:22.498500Z
27171,Wright,86535,0,45,45,Merged into voters' home precincts and released with cumulative results,100,80757,>98%,>98% reported,edison,2,unknown,,13556,,,30854,53565,1032,285,180,203,143,10,16,247,0,0,0,0,0,0,0,0,0,0,2020-11-14T16:39:40Z,26.24487,R+26,Trump +26,republican,26.24487,69618,33,67816,21.71,minnesota,2020-11-15T00:42:22.498500Z
27173,Yellow Medicine,5525,0,27,30,Merged into voters' home precincts and released with cumulative results,100,5356,>98%,>98% reported,edison,2,all,,980,,,1685,3734,45,11,10,13,12,0,0,15,0,0,0,0,0,0,0,0,0,0,2020-11-14T16:39:41Z,37.08597,R+37,Trump +37,republican,37.08597,5276,35.2,5414,6.3,minnesota,2020-11-15T00:42:22.498500Z
