fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_outstanding,absentee_max_ballots,provisional_outstanding,provisional_count_progress,results_warnerm,results_gaded,results_absentee_warnerm,results_absentee_gaded,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,state,retrieved_time
51019,Bedford,48279,24093,32,33,Released as a precinct at the end of tabulation,100,44630,>98%,>98% reported,edison,4,unknown,,3722,,,13872,34407,9312,14781,2020-11-14T16:41:56Z,42.53402,R+43,Gade +43,republican,virginia,2020-11-16T00:45:25.100219Z
51021,Bland,3383,1268,7,8,None,100,3366,>98%,>98% reported,edison,2,unknown,,209,,,732,2651,375,893,2020-11-14T16:41:56Z,56.7248,R+57,Gade +57,republican,virginia,2020-11-16T00:45:25.100219Z
51023,Botetourt,20710,11343,10,11,"As a precinct in the FIRST cumulative report, along with regular precincts",100,19667,>98%,>98% reported,edison,2,unknown,,1719,,,6517,14193,4550,6793,2020-11-14T16:41:56Z,37.06422,R+37,Gade +37,republican,virginia,2020-11-16T00:45:25.100219Z
51520,Bristol,7679,4644,5,5,Released as a separate subtotal as first report of the night,99,7730,>98%,>98% reported,edison,4,unknown,,770,,,2787,4892,2008,2636,2020-11-14T16:41:20Z,27.41242,R+27,Gade +27,republican,virginia,2020-11-16T00:45:25.100219Z
51025,Brunswick,7919,4170,12,14,None,84,9479,84%,84% reported,edison,2,unknown,,801,,,4727,3192,2859,1311,2020-11-14T16:41:56Z,19.38376,D+19,Warner +19,democrat,virginia,2020-11-16T00:45:25.100219Z
51027,Buchanan,9724,3023,16,18,Released as a precinct in the middle of the night,100,9382,>98%,>98% reported,edison,6,all,,942,,,2522,7202,983,2040,2020-11-14T16:41:56Z,48.12834,R+48,Gade +48,republican,virginia,2020-11-16T00:45:25.100219Z
51029,Buckingham,8048,4099,10,11,Released as a precinct in the middle of the night,100,8086,>98%,>98% reported,edison,6,all,,520,,,3656,4392,2353,1746,2020-11-14T16:41:56Z,9.14513,R+9,Gade +9,republican,virginia,2020-11-16T00:45:25.100219Z
51530,Buena Vista,2744,1783,3,3,Merged into voters' home precincts and released with cumulative results,100,2757,>98%,>98% reported,edison,6,unknown,,2407,,,1020,1724,760,1023,2020-11-14T16:41:20Z,25.65598,R+26,Gade +26,republican,virginia,2020-11-16T00:45:25.100219Z
51031,Campbell,29623,14943,15,17,Released separately AFTER election night,100,28898,>98%,>98% reported,edison,2,unknown,,2042,,,9281,20342,6035,8908,2020-11-14T16:41:57Z,37.33923,R+37,Gade +37,republican,virginia,2020-11-16T00:45:25.100219Z
51033,Caroline,16160,7834,12,13,None,100,15598,>98%,>98% reported,edison,2,unknown,,1350,,,8124,8036,5078,2756,2020-11-14T16:41:57Z,0.54455,D+0.54,Warner +0.54,democrat,virginia,2020-11-16T00:45:25.100219Z
