fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_outstanding,absentee_max_ballots,provisional_outstanding,provisional_count_progress,results_trumpd,results_bidenj,results_jorgensenj,results_westk,results_simmonsj,results_pierceb,results_absentee_trumpd,results_absentee_bidenj,results_absentee_jorgensenj,results_absentee_westk,results_absentee_simmonsj,results_absentee_pierceb,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,margin2020,votes2016,margin2016,votes2012,margin2012,state,retrieved_time
40101,Muskogee,25081,7077,33,33,Released as a separate subtotal as first report of the night,100,25081,>98%,>98% reported,edison,10,unknown,,6520,,,16526,8027,319,85,67,57,3627,3342,70,15,12,11,2020-11-24T13:23:51Z,33.88621,R+34,Trump +34,republican,33.88621,24216,29.2,23356,14.78,oklahoma,2020-11-29T00:49:41.097Z
40103,Noble,4938,1349,12,12,Released as a separate subtotal as first report of the night,100,4938,>98%,>98% reported,edison,10,unknown,,1789,,,3821,1003,73,16,9,16,954,371,13,3,4,4,2020-11-24T13:23:52Z,57.06764,R+57,Trump +57,republican,57.06764,4878,57.7,4631,50.64,oklahoma,2020-11-29T00:49:41.097Z
40105,Nowata,4391,1136,11,11,Released as a separate subtotal as first report of the night,100,4391,>98%,>98% reported,edison,10,unknown,,1032,,,3610,712,54,5,8,2,875,247,10,3,0,1,2020-11-24T13:23:53Z,65.99863,R+66,Trump +66,republican,65.99863,4237,60.9,4076,38.96,oklahoma,2020-11-29T00:49:41.097Z
40107,Okfuskee,4038,940,13,13,Released as a separate subtotal as first report of the night,100,4038,>98%,>98% reported,edison,10,unknown,,851,,,3058,896,49,12,15,8,610,310,13,1,3,3,2020-11-24T13:21:45Z,53.54136,R+54,Trump +54,republican,53.54136,3943,47.1,3591,30.05,oklahoma,2020-11-29T00:49:41.097Z
40109,Oklahoma,294740,102700,257,257,Released as a precinct as first report of the night,100,294740,>98%,>98% reported,edison,10,unknown,,49208,,,145050,141724,5272,1326,852,516,35432,64978,1558,287,276,169,2020-11-24T13:21:50Z,1.12845,R+1.1,Trump +1.1,republican,1.12845,273942,10.5,256710,16.65,oklahoma,2020-11-29T00:49:41.097Z
40111,Okmulgee,14313,3465,24,24,Released as a separate subtotal as first report of the night,100,14313,>98%,>98% reported,edison,10,unknown,,2506,,,9668,4357,181,50,31,26,1871,1530,40,5,12,7,2020-11-24T13:21:54Z,37.10613,R+37,Trump +37,republican,37.10613,13949,32.7,13163,17.47,oklahoma,2020-11-29T00:49:41.097Z
40113,Osage,20538,6469,28,28,Released as a separate subtotal as first report of the night,100,20538,>98%,>98% reported,edison,10,unknown,,2789,,,14121,6002,257,84,51,23,3593,2773,78,9,11,5,2020-11-24T13:21:56Z,39.5316,R+40,Trump +40,republican,39.5316,18966,36.8,17946,25.29,oklahoma,2020-11-29T00:49:41.097Z
40115,Ottawa,11438,2752,16,16,Released as a separate subtotal as first report of the night,100,11438,>98%,>98% reported,edison,10,unknown,,1909,,,8545,2686,134,26,24,23,1661,1060,19,3,4,5,2020-11-24T13:22:00Z,51.22399,R+51,Trump +51,republican,51.22399,10690,47.2,9975,29.64,oklahoma,2020-11-29T00:49:41.097Z
40117,Pawnee,6786,1363,10,10,Released as a separate subtotal as first report of the night,100,6786,>98%,>98% reported,edison,10,unknown,,1203,,,5267,1363,103,19,20,14,876,460,20,2,3,2,2020-11-24T13:22:02Z,57.53021,R+58,Trump +58,republican,57.53021,6364,53.2,6045,40.02,oklahoma,2020-11-29T00:49:41.097Z
40119,Payne,29643,8993,31,31,Released as a separate subtotal as first report of the night,100,29643,>98%,>98% reported,edison,10,unknown,,7976,,,17813,10904,673,123,69,61,3523,5233,181,23,19,14,2020-11-24T13:22:04Z,23.30736,R+23,Trump +23,republican,23.30736,27760,28.3,25679,28.36,oklahoma,2020-11-29T00:49:41.097Z
40121,Pittsburg,17924,3267,41,41,Released as a separate subtotal as first report of the night,100,17924,>98%,>98% reported,edison,10,unknown,,3346,,,13851,3768,198,58,25,24,2026,1195,33,7,5,1,2020-11-24T13:22:14Z,56.25418,R+56,Trump +56,republican,56.25418,17271,52.4,15672,38.35,oklahoma,2020-11-29T00:49:41.097Z
40123,Pontotoc,15320,4658,21,21,Released as a separate subtotal as first report of the night,100,15320,>98%,>98% reported,edison,10,unknown,,3595,,,10805,4117,261,69,39,29,2661,1904,64,13,8,8,2020-11-24T13:22:19Z,43.65535,R+44,Trump +44,republican,43.65535,14831,45.8,12892,38.77,oklahoma,2020-11-29T00:49:41.097Z
