fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_outstanding,absentee_max_ballots,provisional_outstanding,provisional_count_progress,results_cornynj,results_hegarm,results_mckennonk,results_collinsda,results_write_ins,results_absentee_cornynj,results_absentee_hegarm,results_absentee_mckennonk,results_absentee_collinsda,results_absentee_write_ins,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,state,retrieved_time
48351,Newton,6019,4037,19,23,Released as a precinct as first report of the night,87,6911,87%,87% reported,edison,2,unknown,,3864,,,4784,1165,46,23,1,3169,825,31,12,0,2020-11-16T15:48:33Z,60.12627,R+60,Cornyn +60,republican,texas,2020-11-23T00:47:50.530696Z
48353,Nolan,5281,3510,8,10,Released as a precinct as first report of the night,92,5736,92%,92% reported,edison,2,unknown,,3284,,,4102,1077,84,18,,2684,770,49,7,,2020-11-19T21:51:07Z,57.28082,R+57,Cornyn +57,republican,texas,2020-11-23T00:47:50.530696Z
48355,Nueces,125299,109437,118,128,Released as a precinct as first report of the night,92,135727,92%,92% reported,edison,2,unknown,,100673,,,64558,57180,2564,997,,56148,50589,1949,751,,2020-11-19T21:51:06Z,5.88832,R+6,Cornyn +6,republican,texas,2020-11-23T00:47:50.530696Z
48357,Ochiltree,3105,2215,4,5,Released as a precinct as first report of the night,88,3545,88%,88% reported,edison,2,unknown,,2376,,,2782,278,36,8,1,2001,184,24,5,1,2020-11-16T15:48:34Z,80.64412,R+81,Cornyn +81,republican,texas,2020-11-23T00:47:50.530696Z
48359,Oldham,996,618,6,8,Released as a precinct as first report of the night,81,1232,81%,81% reported,edison,2,unknown,,538,,,908,74,9,5,,574,37,6,1,,2020-11-16T15:48:35Z,83.73494,R+84,Cornyn +84,republican,texas,2020-11-23T00:47:50.530696Z
48361,Orange,35681,30274,30,35,Released as a precinct as first report of the night,94,37789,94%,94% reported,edison,2,unknown,,33059,,,28720,6249,572,140,,24366,5358,433,117,,2020-11-19T21:51:05Z,62.9775,R+63,Cornyn +63,republican,texas,2020-11-23T00:47:50.530696Z
48363,Palo Pinto,12328,9502,26,28,Released as a precinct as first report of the night,100,12128,>98%,>98% reported,edison,2,unknown,,7232,,,9999,2028,231,70,,7611,1683,156,52,,2020-11-19T21:51:04Z,64.65769,R+65,Cornyn +65,republican,texas,2020-11-23T00:47:50.530696Z
48365,Panola,11299,7982,17,20,Released as a precinct as first report of the night,92,12300,92%,92% reported,edison,2,unknown,,9139,,,9145,2015,109,30,,6422,1476,70,14,,2020-11-19T21:51:04Z,63.10293,R+63,Cornyn +63,republican,texas,2020-11-23T00:47:50.530696Z
48367,Parker,75520,64871,44,44,Released as a precinct as first report of the night,97,78000,97%,97% reported,edison,2,all,,50658,,,61705,11919,1568,325,3,53053,10387,1178,251,2,2020-11-19T18:52:46Z,65.92426,R+66,Cornyn +66,republican,texas,2020-11-23T00:47:50.530696Z
48369,Parmer,2627,1300,8,10,Released as a precinct as first report of the night,79,3309,79%,79% reported,edison,2,unknown,,1526,,,2132,454,28,13,,1096,198,6,0,,2020-11-19T21:51:03Z,63.87514,R+64,Cornyn +64,republican,texas,2020-11-23T00:47:50.530696Z
48371,Pecos,4568,3799,8,10,Released as a precinct as first report of the night,84,5441,84%,84% reported,edison,2,some,,4379,,,3081,1376,79,32,,2575,1150,50,24,,2020-11-19T21:51:02Z,37.32487,R+37,Cornyn +37,republican,texas,2020-11-23T00:47:50.530696Z
48373,Polk,23531,19833,20,22,Released as a precinct as first report of the night,100,23444,>98%,>98% reported,edison,2,unknown,,22445,,,17735,5237,426,133,,14943,4468,332,90,,2020-11-19T21:51:02Z,53.11291,R+53,Cornyn +53,republican,texas,2020-11-23T00:47:50.530696Z
48375,Potter,32836,26504,22,25,Released as a precinct as first report of the night,99,33177,>98%,>98% reported,edison,6,some,,24501,,,22683,9168,738,247,,18456,7372,518,158,,2020-11-19T21:51:01Z,41.15909,R+41,Cornyn +41,republican,texas,2020-11-23T00:47:50.530696Z
48377,Presidio,2091,1708,6,8,Released as a precinct as first report of the night,73,2870,73%,73% reported,edison,2,unknown,,1723,,,651,1374,29,37,0,488,1176,20,24,0,2020-11-16T15:48:36Z,34.57676,D+35,Hegar +35,democrat,texas,2020-11-23T00:47:50.530696Z
48379,Rains,5956,4946,9,9,Released as a precinct as first report of the night,100,5551,>98%,>98% reported,edison,2,unknown,,3940,,,5060,789,81,26,,4212,663,52,19,,2020-11-19T21:51:03Z,71.7092,R+72,Cornyn +72,republican,texas,2020-11-23T00:47:50.530696Z
48381,Randall,64316,55830,21,23,Released as a precinct as first report of the night,93,68884,93%,93% reported,edison,4,all,,56579,,,51116,11618,1348,234,,44536,10105,1013,176,,2020-11-19T21:51:03Z,61.4124,R+61,Cornyn +61,republican,texas,2020-11-23T00:47:50.530696Z
