fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_outstanding,absentee_max_ballots,provisional_outstanding,provisional_count_progress,results_bidenj,results_trumpd,results_jorgensenj,results_write_ins,results_absentee_bidenj,results_absentee_trumpd,results_absentee_jorgensenj,results_absentee_write_ins,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,margin2020,votes2016,margin2016,votes2012,margin2012,state,retrieved_time
13021,Bibb,70802,53704,31,31,Released as a separate subtotal in the middle of the tabulation,100,70802,>98%,>98% reported,edison,10,unknown,,38674,,,43468,26585,749,,34648,18609,447,,2020-11-16T15:48:26Z,23.84537,D+24,Biden +24,democrat,-23.84537,62880,-20.3,64718,-20.03,georgia,2020-11-20T00:43:08.139660Z
13023,Bleckley,5706,4447,1,1,Merged into voters' home precincts and released with cumulative results,100,5706,>98%,>98% reported,edison,10,unknown,,4032,,,1311,4328,67,,1016,3384,47,,2020-11-16T15:48:26Z,52.87417,R+53,Trump +53,republican,52.87417,4974,52.6,4907,47.24,georgia,2020-11-20T00:43:08.139660Z
13025,Brantley,7746,5577,3,3,"As a precinct in the FIRST cumulative report, along with regular precincts",100,7746,>98%,>98% reported,edison,10,unknown,,3280,,,699,6991,56,,553,4992,32,,2020-11-16T15:48:27Z,81.22902,R+81,Trump +81,republican,81.22902,6301,78.5,6002,67.06,georgia,2020-11-20T00:43:08.139660Z
13027,Brooks,7100,5129,7,7,Released as a precinct as first report of the night,100,7100,>98%,>98% reported,edison,10,all,,5648,,,2790,4260,50,,2264,2831,34,,2020-11-16T15:48:27Z,20.70423,R+21,Trump +21,republican,20.70423,6336,18.5,6742,6.17,georgia,2020-11-20T00:43:08.139660Z
13029,Bryan,21340,17808,10,10,Released as a precinct in the middle of the night,100,21340,>98%,>98% reported,edison,10,unknown,,11968,,,6739,14244,357,,5899,11660,249,,2020-11-16T15:48:28Z,35.1687,R+35,Trump +35,republican,35.1687,15271,42.7,13453,43.51,georgia,2020-11-20T00:43:08.139660Z
13031,Bulloch,30084,20765,16,16,Other,100,30084,>98%,>98% reported,edison,10,unknown,,19275,,,11243,18386,455,,8793,11710,262,,2020-11-16T15:48:28Z,23.74352,R+24,Trump +24,republican,23.74352,25585,22.8,24085,19.02,georgia,2020-11-20T00:43:08.139660Z
13033,Burke,10684,7220,16,16,None,100,10684,>98%,>98% reported,edison,10,unknown,,6829,,,5209,5400,75,,3719,3451,50,,2020-11-16T15:48:29Z,1.78772,R+1.8,Trump +1.8,republican,1.78772,9410,-2.6,9779,-11.29,georgia,2020-11-20T00:43:08.139660Z
13035,Butts,11792,10558,1,1,Released as a precinct as first report of the night,100,11789,>98%,>98% reported,edison,10,all,,10779,,,3274,8406,91,21,2895,7579,69,15,2020-11-19T18:38:48Z,43.52103,R+44,Trump +44,republican,43.52103,9514,43.6,9381,35.58,georgia,2020-11-20T00:43:08.139660Z
13037,Calhoun,2194,1548,5,5,Merged into voters' home precincts and released with cumulative results,100,2194,>98%,>98% reported,edison,10,unknown,,1318,,,1260,923,11,,899,644,5,,2020-11-16T15:48:30Z,15.36007,D+15,Biden +15,democrat,-15.36007,2025,-17.2,2188,-18.97,georgia,2020-11-20T00:43:08.139660Z
13039,Camden,23688,18724,14,14,"As a precinct in the FIRST cumulative report, along with regular precincts",100,23688,>98%,>98% reported,edison,6,unknown,,14382,,,7967,15251,470,,6798,11626,300,,2020-11-16T15:48:31Z,30.74975,R+31,Trump +31,republican,30.74975,19069,33.5,17983,27.61,georgia,2020-11-20T00:43:08.139660Z
13043,Candler,4431,2292,1,1,Other,100,4432,>98%,>98% reported,edison,10,unknown,,3010,,,1269,3133,29,0,739,1547,6,0,2020-11-19T18:39:10Z,42.06725,R+42,Trump +42,republican,42.06725,3763,43.5,3528,33.65,georgia,2020-11-20T00:43:08.139660Z
13045,Carroll,54474,40073,28,28,None,100,54474,>98%,>98% reported,edison,10,unknown,,31790,,,16238,37476,760,,13216,26375,482,,2020-11-16T15:48:32Z,38.98741,R+39,Trump +39,republican,38.98741,44459,39.5,41549,37.53,georgia,2020-11-20T00:43:08.139660Z
13047,Catoosa,32692,26296,11,11,None,100,32692,>98%,>98% reported,edison,10,unknown,,21358,,,6932,25167,494,99,5952,19973,313,58,2020-11-16T15:48:32Z,55.77817,R+56,Trump +56,republican,55.77817,26940,59.8,23678,52.76,georgia,2020-11-20T00:43:08.139660Z
13049,Charlton,4566,3190,8,8,Merged into voters' home precincts and released with cumulative results,100,4566,>98%,>98% reported,edison,10,unknown,,2992,,,1103,3419,44,,870,2293,27,,2020-11-16T15:48:32Z,50.72273,R+51,Trump +51,republican,50.72273,4031,48.3,3764,35.33,georgia,2020-11-20T00:43:08.139660Z
13051,Chatham,133420,96111,92,92,Released as a precinct as first report of the night,100,133589,>98%,>98% reported,edison,6,all,,63578,,,78254,53237,1929,0,60237,34846,1028,0,2020-11-19T18:37:01Z,18.75056,D+19,Biden +19,democrat,-18.75056,113051,-14.7,108628,-12.01,georgia,2020-11-20T00:43:08.139660Z
13053,Chattahoochee,1590,1124,1,1,None,100,1590,>98%,>98% reported,edison,10,all,,126,,,667,880,35,8,515,585,17,7,2020-11-16T15:48:33Z,13.39623,R+13,Trump +13,republican,13.39623,1390,11.3,1490,0.4,georgia,2020-11-20T00:43:08.139660Z
13055,Chattooga,10050,7162,13,13,Released with cumulative results periodically election night,100,10050,>98%,>98% reported,edison,10,unknown,,5234,,,1854,8064,132,,1486,5594,82,,2020-11-16T15:48:34Z,61.79104,R+62,Trump +62,republican,61.79104,8252,58.8,7822,41.17,georgia,2020-11-20T00:43:08.139660Z
13057,Cherokee,144830,113527,42,42,Released as a separate subtotal as first report of the night,100,144830,>98%,>98% reported,edison,10,unknown,,90723,,,42794,99587,2449,,36190,75810,1527,,2020-11-16T15:48:34Z,39.21356,R+39,Trump +39,republican,39.21356,112784,49.1,98220,57.7,georgia,2020-11-20T00:43:08.139660Z
13059,Clarke,51333,42276,24,24,None,100,51218,>98%,>98% reported,edison,10,unknown,,31528,,,36048,14446,839,,30686,11022,568,,2020-11-16T15:48:34Z,42.08209,D+42,Biden +42,democrat,-42.08209,45476,-37.1,40368,-28.78,georgia,2020-11-20T00:43:08.139660Z
13061,Clay,1434,1133,5,5,Merged into voters' home precincts and released with cumulative results,100,1434,>98%,>98% reported,edison,10,all,,907,,,790,637,7,,625,506,2,,2020-11-16T15:48:34Z,10.66946,D+11,Biden +11,democrat,-10.66946,1273,-10.3,1402,-23.18,georgia,2020-11-20T00:43:08.139660Z
13063,Clayton,112344,91519,65,65,None,100,112344,>98%,>98% reported,edison,10,unknown,,91435,,,95476,15813,1055,,78456,12354,709,,2020-11-16T15:48:34Z,70.90988,D+71,Biden +71,democrat,-70.90988,93580,-70.1,96067,-70.07,georgia,2020-11-20T00:43:08.139660Z
13065,Clinch,2864,2008,5,5,"As a precinct in the FIRST cumulative report, along with regular precincts",100,2864,>98%,>98% reported,edison,10,unknown,,1870,,,747,2105,12,,512,1486,10,,2020-11-16T15:48:35Z,47.4162,R+47,Trump +47,republican,47.4162,2464,42.2,2472,30.18,georgia,2020-11-20T00:43:08.139660Z
13067,Cobb,393746,322843,145,145,Merged into voters' home precincts and released with cumulative results,100,393744,>98%,>98% reported,edison,10,unknown,,202586,,,221846,165459,6441,,190900,127671,4272,,2020-11-16T15:48:35Z,14.32065,D+14,Biden +14,democrat,-14.32065,334058,-2.2,310116,12.45,georgia,2020-11-20T00:43:08.139660Z
13069,Coffee,15214,11473,6,6,Other,100,15214,>98%,>98% reported,edison,10,all,,13390,,,4511,10578,125,,3406,7983,84,,2020-11-16T15:48:35Z,39.87774,R+40,Trump +40,republican,39.87774,13998,39.2,14454,29,georgia,2020-11-20T00:43:08.139660Z
