fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_outstanding,absentee_max_ballots,provisional_outstanding,provisional_count_progress,results_bidenj,results_trumpd,results_jorgensenj,results_hawkinsh,results_pierceb,results_write_ins,results_absentee_bidenj,results_absentee_trumpd,results_absentee_jorgensenj,results_absentee_hawkinsh,results_absentee_pierceb,results_absentee_write_ins,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,margin2020,votes2016,margin2016,votes2012,margin2012,state,retrieved_time
36067,Onondaga,176798,0,324,428,Merged into voters' home precincts AFTER election night,76,233453,76%,76% reported,edison,2,unknown,,,,,93850,78994,2002,1297,655,,0,0,0,0,0,,2020-11-11T03:25:47Z,8.40281,D+8,Biden +8,democrat,-8.40281,208440,-13.8,204717,-21.21,new-york,2020-11-12T00:35:44.859320Z
36069,Ontario,47830,0,75,92,Merged into voters' home precincts AFTER election night,82,58529,82%,82% reported,edison,2,unknown,,,,,20779,25757,823,213,258,,0,0,0,0,0,,2020-11-11T03:25:47Z,10.40769,R+10,Trump +10,republican,10.40769,52527,7.2,47853,1.53,new-york,2020-11-12T00:35:44.859320Z
36071,Orange,139956,0,271,330,Merged into voters' home precincts AFTER election night,82,170264,82%,82% reported,edison,2,unknown,,,,,61868,76218,1097,379,394,,0,0,0,0,0,,2020-11-11T03:25:48Z,10.25322,R+10,Trump +10,republican,10.25322,152021,5.5,140628,-5.65,new-york,2020-11-12T00:35:44.859320Z
36073,Orleans,15625,0,34,40,Merged into voters' home precincts AFTER election night,85,18346,85%,85% reported,edison,2,unknown,,,,,4082,11173,274,38,58,,0,0,0,0,0,,2020-11-11T03:25:49Z,45.3824,R+45,Trump +45,republican,45.3824,16380,39.5,14706,19.09,new-york,2020-11-12T00:35:44.859320Z
36075,Oswego,44546,0,91,110,Merged into voters' home precincts AFTER election night,83,53962,83%,83% reported,edison,2,unknown,,,,,14677,28914,585,209,161,,0,0,0,0,0,,2020-11-11T03:25:50Z,31.96022,R+32,Trump +32,republican,31.96022,48180,22,44591,-7.93,new-york,2020-11-12T00:35:44.859320Z
36077,Otsego,22340,0,38,49,Merged into voters' home precincts AFTER election night,78,28748,78%,78% reported,edison,2,unknown,,,,,9138,12682,336,101,83,,0,0,0,0,0,,2020-11-11T03:25:51Z,15.86392,R+16,Trump +16,republican,15.86392,25668,11.1,24139,-2.72,new-york,2020-11-12T00:35:44.859320Z
36079,Putnam,43661,0,69,86,Merged into voters' home precincts AFTER election night,80,54391,80%,80% reported,edison,4,none,,,,,17106,25899,316,112,119,109,0,0,0,0,0,0,2020-11-11T03:25:51Z,20.13925,R+20,Trump +20,republican,20.13925,48563,15.8,44345,10.31,new-york,2020-11-12T00:35:44.859320Z
36081,Queens,597928,0,1295,1295,Merged into voters' home precincts AFTER election night,63,950000,63%,63% reported,edison,2,unknown,,,,,412393,181225,1777,2011,522,0,0,0,0,0,0,0,2020-11-11T03:25:52Z,38.66151,D+39,Biden +39,democrat,-38.66151,686393,-53.6,595241,-59.16,new-york,2020-11-12T00:35:44.859320Z
36083,Rensselaer,65285,0,71,87,Merged into voters' home precincts AFTER election night,81,80149,81%,81% reported,edison,2,unknown,,,,,30450,33371,863,289,312,,0,0,0,0,0,,2020-11-11T03:25:53Z,4.47423,R+4,Trump +4,republican,4.47423,71562,1.4,67990,-12.2,new-york,2020-11-12T00:35:44.859320Z
36087,Rockland,116024,0,212,277,Merged into voters' home precincts AFTER election night,77,151282,77%,77% reported,edison,4,unknown,,,,,50926,63830,508,218,257,285,0,0,0,0,0,0,2020-11-11T03:25:54Z,11.12184,R+11,Trump +11,republican,11.12184,135087,-6.2,124645,-6.71,new-york,2020-11-12T00:35:44.859320Z
