fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_outstanding,absentee_max_ballots,provisional_outstanding,provisional_count_progress,results_hagertyb,results_bradshawm,results_mcleode,results_faparusiy,results_morgank,results_henleyr,results_stansberrye,results_grunauj,results_hilld,results_jamesa,results_hoopers,results_absentee_hagertyb,results_absentee_bradshawm,results_absentee_mcleode,results_absentee_faparusiy,results_absentee_morgank,results_absentee_henleyr,results_absentee_stansberrye,results_absentee_grunauj,results_absentee_hilld,results_absentee_jamesa,results_absentee_hoopers,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,state,retrieved_time
47113,Madison,41604,0,33,33,Released as a separate subtotal as first report of the night,88,47214,88%,88% reported,edison,2,some,,27329,,,24046,16700,181,118,117,107,44,47,60,78,106,0,0,0,0,0,0,0,0,0,0,0,2020-11-11T03:27:00Z,17.65696,R+18,Hagerty +18,republican,tennessee,2020-11-14T00:45:46.362289Z
47115,Marion,12720,0,17,17,Merged into voters' home precincts and released with cumulative results,100,12600,>98%,>98% reported,edison,2,unknown,,6153,,,9487,2943,26,31,18,63,11,19,41,6,75,0,0,0,0,0,0,0,0,0,0,0,2020-11-11T03:27:00Z,51.44654,R+51,Hagerty +51,republican,tennessee,2020-11-14T00:45:46.362289Z
47117,Marshall,14148,0,9,9,Released as a separate subtotal as first report of the night,100,13765,>98%,>98% reported,edison,2,unknown,,8159,,,10636,3152,70,28,54,45,32,27,32,23,49,0,0,0,0,0,0,0,0,0,0,0,2020-11-11T03:27:00Z,52.89794,R+53,Hagerty +53,republican,tennessee,2020-11-14T00:45:46.362289Z
47119,Maury,45371,28028,21,21,Released as a separate subtotal as first report of the night,98,46105,98%,98% reported,edison,6,all,,27483,,,30966,13475,172,168,93,160,63,41,67,53,113,19173,8394,84,82,51,82,24,21,30,25,62,2020-11-11T03:25:37Z,38.55106,R+39,Hagerty +39,republican,tennessee,2020-11-14T00:45:46.362289Z
47107,McMinn,22112,0,15,15,Released as a separate subtotal as first report of the night,98,22541,98%,98% reported,edison,2,unknown,,11950,,,17755,3904,49,55,37,78,22,43,57,11,101,0,0,0,0,0,0,0,0,0,0,0,2020-11-11T03:25:45Z,62.6402,R+63,Hagerty +63,republican,tennessee,2020-11-14T00:45:46.362289Z
47109,McNairy,10936,0,15,16,Other,94,11644,94%,94% reported,edison,2,unknown,,5879,,,8831,1764,57,36,49,34,20,10,10,89,36,0,0,0,0,0,0,0,0,0,0,0,2020-11-11T03:25:46Z,64.62143,R+65,Hagerty +65,republican,tennessee,2020-11-14T00:45:46.362289Z
47121,Meigs,5204,0,6,6,"As a precinct in the FIRST cumulative report, along with regular precincts",94,5550,94%,94% reported,edison,2,unknown,,3052,,,4195,882,28,12,24,17,18,6,4,5,13,0,0,0,0,0,0,0,0,0,0,0,2020-11-11T03:25:38Z,63.66257,R+64,Hagerty +64,republican,tennessee,2020-11-14T00:45:46.362289Z
47123,Monroe,20154,0,13,13,None,100,19824,>98%,>98% reported,edison,2,unknown,,12043,,,16295,3441,46,43,30,82,12,37,58,13,97,0,0,0,0,0,0,0,0,0,0,0,2020-11-11T03:25:39Z,63.7789,R+64,Hagerty +64,republican,tennessee,2020-11-14T00:45:46.362289Z
47125,Montgomery,73046,0,29,29,Released as a separate subtotal as first report of the night,100,66837,>98%,>98% reported,edison,2,unknown,,43616,,,41314,28632,688,431,463,476,195,185,162,199,301,0,0,0,0,0,0,0,0,0,0,0,2020-11-11T03:25:40Z,17.36166,R+17,Hagerty +17,republican,tennessee,2020-11-14T00:45:46.362289Z
47127,Moore,3446,0,5,5,Other,95,3630,95%,95% reported,edison,2,unknown,,1953,,,2827,523,19,10,13,9,6,2,9,17,11,0,0,0,0,0,0,0,0,0,0,0,2020-11-11T03:25:43Z,66.86013,R+67,Hagerty +67,republican,tennessee,2020-11-14T00:45:46.362289Z
47129,Morgan,7936,0,12,12,Released as a separate subtotal as first report of the night,100,7778,>98%,>98% reported,edison,2,unknown,,3884,,,6711,1080,29,14,16,22,13,12,13,13,13,0,0,0,0,0,0,0,0,0,0,0,2020-11-11T03:25:44Z,70.95514,R+71,Hagerty +71,republican,tennessee,2020-11-14T00:45:46.362289Z
