fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_outstanding,absentee_max_ballots,provisional_outstanding,provisional_count_progress,results_trumpd,results_bidenj,results_jorgensenj,results_write_ins,results_absentee_trumpd,results_absentee_bidenj,results_absentee_jorgensenj,results_absentee_write_ins,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,margin2020,votes2016,margin2016,votes2012,margin2012,state,retrieved_time
31153,Sarpy,95409,0,52,52,Merged into voters' home precincts and released with cumulative results,100,90250,>98%,>98% reported,edison,2,unknown,,41779,,,51518,41029,2453,409,0,0,0,0,2020-11-16T15:47:58Z,10.99372,R+11,Trump +11,republican,10.99372,80580,21.2,71490,23.14,nebraska,2020-11-23T00:45:08.962346Z
31155,Saunders,12735,0,19,19,"As a precinct in the FIRST cumulative report, along with regular precincts",100,12163,>98%,>98% reported,edison,2,unknown,,3181,,,9108,3331,296,,0,0,0,,2020-11-16T15:47:59Z,45.36317,R+45,Trump +45,republican,45.36317,10860,46.3,10312,33.58,nebraska,2020-11-23T00:45:08.962346Z
31157,Scotts Bluff,15469,7041,29,30,Released as a precinct as first report of the night,96,16035,96%,96% reported,edison,2,some,,6589,,,10952,4196,321,,4245,2660,136,,2020-11-16T15:48:00Z,43.67445,R+44,Trump +44,republican,43.67445,14317,48,14287,37.24,nebraska,2020-11-23T00:45:08.962346Z
31159,Seward,9142,0,16,16,Released as a precinct as first report of the night,100,8873,>98%,>98% reported,edison,2,unknown,,2013,,,6490,2438,214,,0,0,0,,2020-11-16T15:48:00Z,44.32291,R+44,Trump +44,republican,44.32291,7922,45.2,7573,34.56,nebraska,2020-11-23T00:45:08.962346Z
31161,Sheridan,2672,0,8,9,Released as a precinct as first report of the night,91,2921,91%,91% reported,edison,2,unknown,,739,,,2292,340,40,,0,0,0,,2020-11-16T15:48:01Z,73.05389,R+73,Trump +73,republican,73.05389,2608,73.8,2472,65.98,nebraska,2020-11-23T00:45:08.962346Z
31163,Sherman,1698,0,7,7,Released separately AFTER election night,96,1762,96%,96% reported,edison,2,unknown,,421,,,1322,343,33,,0,0,0,,2020-11-16T15:48:01Z,57.65607,R+58,Trump +58,republican,57.65607,1573,51.5,1530,24.51,nebraska,2020-11-23T00:45:08.962346Z
31165,Sioux,729,0,3,3,Released separately AFTER election night,88,824,88%,88% reported,edison,2,unknown,,291,,,642,72,15,,0,0,0,,2020-11-16T15:48:02Z,78.1893,R+78,Trump +78,republican,78.1893,736,72.7,739,70.77,nebraska,2020-11-23T00:45:08.962346Z
31167,Stanton,3165,0,16,16,Released as a precinct as first report of the night,100,3137,>98%,>98% reported,edison,2,unknown,,1576,,,2561,532,68,4,0,0,0,0,2020-11-16T15:48:02Z,64.10742,R+64,Trump +64,republican,64.10742,2801,63.2,2644,50.49,nebraska,2020-11-23T00:45:08.962346Z
31169,Thayer,2980,0,8,8,Released as a precinct as first report of the night,99,3013,>98%,>98% reported,edison,2,unknown,,773,,,2308,624,48,,0,0,0,,2020-11-16T15:48:03Z,56.51007,R+57,Trump +57,republican,56.51007,2690,57.7,2659,43.1,nebraska,2020-11-23T00:45:08.962346Z
31171,Thomas,427,0,1,1,Released as a separate subtotal at the end of tabulation,93,457,93%,93% reported,edison,2,unknown,,242,,,377,45,5,,0,0,0,,2020-11-16T15:48:03Z,77.75176,R+78,Trump +78,republican,77.75176,393,79.9,408,77.94,nebraska,2020-11-23T00:45:08.962346Z
31173,Thurston,2325,0,9,9,"As a precinct in the FIRST cumulative report, along with regular precincts",94,2472,94%,94% reported,edison,2,unknown,,363,,,1180,1122,23,,0,0,0,,2020-11-16T15:48:03Z,2.49462,R+2,Trump +2,republican,2.49462,2088,5.9,2215,-13.91,nebraska,2020-11-23T00:45:08.962346Z
31175,Valley,2340,0,8,8,"As a precinct in the FIRST cumulative report, along with regular precincts",95,2470,95%,95% reported,edison,2,unknown,,581,,,1901,412,27,,0,0,0,,2020-11-16T15:48:04Z,63.63248,R+64,Trump +64,republican,63.63248,2205,65.4,2195,52.8,nebraska,2020-11-23T00:45:08.962346Z
31177,Washington,12413,0,16,16,Released as a precinct as first report of the night,100,12132,>98%,>98% reported,edison,2,unknown,,4096,,,8583,3554,276,,0,0,0,,2020-11-16T15:48:04Z,40.51398,R+41,Trump +41,republican,40.51398,10832,44.3,10246,36.77,nebraska,2020-11-23T00:45:08.962346Z
31179,Wayne,4200,0,11,11,Released as a precinct as first report of the night,99,4229,>98%,>98% reported,edison,2,unknown,,1347,,,3055,1022,123,,0,0,0,,2020-11-16T15:48:05Z,48.40476,R+48,Trump +48,republican,48.40476,3776,49.2,3682,38.54,nebraska,2020-11-23T00:45:08.962346Z
31181,Webster,1876,0,6,6,Released separately AFTER election night,96,1945,96%,96% reported,edison,2,unknown,,499,,,1511,335,30,,0,0,0,,2020-11-16T15:48:06Z,62.68657,R+63,Trump +63,republican,62.68657,1708,60,1742,46.84,nebraska,2020-11-23T00:45:08.962346Z
31183,Wheeler,502,0,2,2,Released separately AFTER election night,96,521,96%,96% reported,edison,2,unknown,,160,,,438,59,5,,0,0,0,,2020-11-16T15:48:06Z,75.49801,R+75,Trump +75,republican,75.49801,465,67.7,448,56.25,nebraska,2020-11-23T00:45:08.962346Z
31185,York,7143,0,13,13,Released as a precinct as first report of the night,100,7147,>98%,>98% reported,edison,2,unknown,,2483,,,5337,1630,176,,0,0,0,,2020-11-21T00:00:40Z,51.89696,R+52,Trump +52,republican,51.89696,6381,55.1,6355,55.09,nebraska,2020-11-23T00:45:08.962346Z
