fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_outstanding,absentee_max_ballots,provisional_outstanding,provisional_count_progress,results_bidenj,results_trumpd,results_jorgensenj,results_blankenshipd,results_write_ins,results_carrollb,results_absentee_bidenj,results_absentee_trumpd,results_absentee_jorgensenj,results_absentee_blankenshipd,results_absentee_write_ins,results_absentee_carrollb,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,margin2020,votes2016,margin2016,votes2012,margin2012,state,retrieved_time
55023,Crawford,8695,0,27,27,Merged into voters' home precincts and released with cumulative results,100,8695,>98%,>98% reported,edison,10,unknown,,1396,,,3953,4620,92,18,0,12,0,0,0,0,0,0,2020-11-16T15:48:19Z,7.67108,R+8,Trump +8,republican,7.67108,7728,5.4,7817,-19.98,wisconsin,2020-11-24T00:45:52.467869Z
55025,Dane,344791,0,240,240,Merged into voters' home precincts and released with cumulative results,100,344791,>98%,>98% reported,edison,10,all,,123182,,,260185,78800,3668,404,1151,583,0,0,0,0,0,0,2020-11-16T19:15:57Z,52.60723,D+53,Biden +53,democrat,-52.60723,309354,-47.3,304181,-43.54,wisconsin,2020-11-24T00:45:52.467869Z
55027,Dodge,48436,0,61,61,Merged into voters' home precincts and released with cumulative results,100,48436,>98%,>98% reported,edison,10,unknown,,10082,,,16356,31355,535,90,19,81,0,0,0,0,0,0,2020-11-16T19:17:42Z,30.96664,R+31,Trump +31,republican,30.96664,43078,29.4,44488,14.5,wisconsin,2020-11-24T00:45:52.467869Z
55029,Door,20117,0,21,21,Merged into voters' home precincts and released with cumulative results,100,20117,>98%,>98% reported,edison,10,unknown,,6534,,,10044,9752,231,27,41,22,0,0,0,0,0,0,2020-11-16T15:48:21Z,1.45151,D+1.5,Biden +1.5,democrat,-1.45151,17592,3.2,17671,-6.99,wisconsin,2020-11-24T00:45:52.467869Z
55031,Douglas,24677,0,26,26,Merged into voters' home precincts and released with cumulative results,100,24677,>98%,>98% reported,edison,10,unknown,,4935,,,13218,10923,379,42,74,41,0,0,0,0,0,0,2020-11-16T15:48:21Z,9.30016,D+9,Biden +9,democrat,-9.30016,22536,-7.5,22894,-31.27,wisconsin,2020-11-24T00:45:52.467869Z
55033,Dunn,23524,0,36,36,Other,100,23524,>98%,>98% reported,edison,10,unknown,,3873,,,9897,13173,368,44,14,28,0,0,0,0,0,0,2020-11-16T15:48:22Z,13.9262,R+14,Trump +14,republican,13.9262,22106,11.1,21992,-4.97,wisconsin,2020-11-24T00:45:52.467869Z
55035,Eau Claire,58275,0,95,95,Merged into voters' home precincts and released with cumulative results,100,58275,>98%,>98% reported,edison,10,unknown,,18289,,,31620,25341,925,97,201,91,0,0,0,0,0,0,2020-11-16T15:48:22Z,10.77477,D+11,Biden +11,democrat,-10.77477,55025,-7.3,54806,-13.52,wisconsin,2020-11-24T00:45:52.467869Z
55037,Florence,2940,0,8,8,Released as a separate subtotal at the end of tabulation,100,2940,>98%,>98% reported,edison,10,unknown,,602,,,781,2133,22,4,0,0,0,0,0,0,0,0,2020-11-16T15:48:23Z,45.98639,R+46,Trump +46,republican,45.98639,2656,46.4,2625,26.36,wisconsin,2020-11-24T00:45:52.467869Z
55039,Fond du Lac,57251,0,68,68,Merged into voters' home precincts and released with cumulative results,100,57251,>98%,>98% reported,edison,10,some,,16866,,,20588,35754,686,91,57,75,0,0,0,0,0,0,2020-11-16T15:48:23Z,26.49037,R+26,Trump +26,republican,26.49037,51796,26.3,53402,14.94,wisconsin,2020-11-24T00:45:52.467869Z
55041,Forest,5053,0,15,15,Released as a separate subtotal at the end of tabulation,100,5053,>98%,>98% reported,edison,10,unknown,,878,,,1721,3285,35,6,4,2,0,0,0,0,0,0,2020-11-16T19:21:55Z,30.95191,R+31,Trump +31,republican,30.95191,4545,26.6,4648,-5.44,wisconsin,2020-11-24T00:45:52.467869Z
55043,Grant,25608,0,52,52,Merged into voters' home precincts and released with cumulative results,100,25608,>98%,>98% reported,edison,10,unknown,,5001,,,10998,14142,350,34,50,34,0,0,0,0,0,0,2020-11-16T15:48:24Z,12.27741,R+12,Trump +12,republican,12.27741,24368,9.4,24248,-13.77,wisconsin,2020-11-24T00:45:52.467869Z
55045,Green,21406,0,24,24,None,100,21406,>98%,>98% reported,edison,10,unknown,,4597,,,10851,10169,271,38,50,27,0,0,0,0,0,0,2020-11-16T15:48:24Z,3.18602,D+3,Biden +3,democrat,-3.18602,18985,-2.3,19322,-17.33,wisconsin,2020-11-24T00:45:52.467869Z
55047,Green Lake,10671,0,16,16,Merged into voters' home precincts and released with cumulative results,100,10671,>98%,>98% reported,edison,10,unknown,,1960,,,3344,7168,110,15,23,11,0,0,0,0,0,0,2020-11-16T15:48:25Z,35.83544,R+36,Trump +36,republican,35.83544,9416,37.4,9675,20.56,wisconsin,2020-11-24T00:45:52.467869Z
55049,Iowa,13992,0,29,29,Merged into voters' home precincts and released with cumulative results,100,13992,>98%,>98% reported,edison,10,unknown,,2770,,,7828,5909,161,25,25,44,0,0,0,0,0,0,2020-11-16T15:48:25Z,13.71498,D+14,Biden +14,democrat,-13.71498,12275,-15.2,12534,-30.46,wisconsin,2020-11-24T00:45:52.467869Z
55051,Iron,4010,0,19,19,Merged into voters' home precincts and released with cumulative results,100,4010,>98%,>98% reported,edison,10,unknown,,1020,,,1533,2438,26,6,6,1,0,0,0,0,0,0,2020-11-16T15:48:25Z,22.56858,R+23,Trump +23,republican,22.56858,3513,22.9,3632,0.17,wisconsin,2020-11-24T00:45:52.467869Z
55053,Jackson,10184,0,31,31,None,100,10184,>98%,>98% reported,edison,10,unknown,,1378,,,4256,5791,111,17,1,8,0,0,0,0,0,0,2020-11-16T15:48:25Z,15.07266,R+15,Trump +15,republican,15.07266,9267,11.7,9313,-15.01,wisconsin,2020-11-24T00:45:52.467869Z
55055,Jefferson,47979,0,35,35,Merged into voters' home precincts and released with cumulative results,100,47979,>98%,>98% reported,edison,10,unknown,,12689,,,19904,27208,634,69,120,44,0,0,0,0,0,0,2020-11-16T19:26:09Z,15.22333,R+15,Trump +15,republican,15.22333,43109,15.9,44281,7.59,wisconsin,2020-11-24T00:45:52.467869Z
55057,Juneau,13709,0,28,28,Released as a separate subtotal at the end of tabulation,100,13702,>98%,>98% reported,edison,10,unknown,,1959,,,4746,8749,146,21,26,21,0,0,0,0,0,0,2020-11-17T18:14:10Z,29.1998,R+29,Trump +29,republican,29.1998,11735,26.1,11827,-7.03,wisconsin,2020-11-24T00:45:52.467869Z
55059,Kenosha,88738,0,126,126,Merged into voters' home precincts and released with cumulative results,100,88738,>98%,>98% reported,edison,10,some,,41542,,,42193,44972,1037,147,269,120,0,0,0,0,0,0,2020-11-17T16:09:06Z,3.13169,R+3,Trump +3,republican,3.13169,76304,0.3,80897,-12.23,wisconsin,2020-11-24T00:45:52.467869Z
55061,Kewaunee,12095,0,14,14,Merged into voters' home precincts and released with cumulative results,100,12095,>98%,>98% reported,edison,10,unknown,,1563,,,3976,7927,127,26,27,12,0,0,0,0,0,0,2020-11-16T15:48:26Z,32.66639,R+33,Trump +33,republican,32.66639,10767,27.8,11037,5.38,wisconsin,2020-11-24T00:45:52.467869Z
