fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_outstanding,absentee_max_ballots,provisional_outstanding,provisional_count_progress,results_smitht,results_lewisj,results_oconnork,results_steinbergo,results_absentee_smitht,results_absentee_lewisj,results_absentee_oconnork,results_absentee_steinbergo,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,state,retrieved_time
27135,Roseau,8290,0,40,44,Merged into voters' home precincts and released with cumulative results,100,7745,>98%,>98% reported,edison,2,unknown,,1517,,,2315,5484,396,95,0,0,0,0,2020-11-11T03:24:47Z,38.22678,R+38,Lewis +38,republican,minnesota,2020-11-11T12:20:02.315675Z
27139,Scott,86458,0,47,47,Merged into voters' home precincts and released with cumulative results,99,87034,>98%,>98% reported,edison,2,unknown,,13020,,,35757,44214,5218,1269,0,0,0,0,2020-11-11T03:26:04Z,9.78163,R+10,Lewis +10,republican,minnesota,2020-11-11T12:20:02.315675Z
27141,Sherburne,54406,0,34,35,Merged into voters' home precincts and released with cumulative results,97,56008,97%,97% reported,edison,2,unknown,,9408,,,16585,33146,3701,974,0,0,0,0,2020-11-11T03:26:04Z,30.43966,R+30,Lewis +30,republican,minnesota,2020-11-11T12:20:02.315675Z
27143,Sibley,8298,0,23,25,Merged into voters' home precincts and released with cumulative results,100,7726,>98%,>98% reported,edison,4,all,,1125,,,2368,5392,426,112,0,0,0,0,2020-11-11T03:26:04Z,36.44252,R+36,Lewis +36,republican,minnesota,2020-11-11T12:20:02.315675Z
27137,St. Louis,117412,0,155,172,Merged into voters' home precincts and released with cumulative results,88,133513,88%,88% reported,edison,4,some,,20931,,,63163,45234,6557,2458,0,0,0,0,2020-11-11T03:26:03Z,15.27016,D+15,Smith +15,democrat,minnesota,2020-11-11T12:20:02.315675Z
27145,Stearns,83340,0,88,98,Merged into voters' home precincts and released with cumulative results,90,92327,90%,90% reported,edison,2,unknown,,12584,,,29932,47081,4842,1485,0,0,0,0,2020-11-11T03:24:57Z,20.57715,R+21,Lewis +21,republican,minnesota,2020-11-11T12:20:02.315675Z
27147,Steele,20588,0,24,26,Merged into voters' home precincts and released with cumulative results,93,22248,93%,93% reported,edison,4,some,,3939,,,7413,11358,1382,435,0,0,0,0,2020-11-11T03:26:01Z,19.16165,R+19,Lewis +19,republican,minnesota,2020-11-11T12:20:02.315675Z
27149,Stevens,5020,0,21,26,Merged into voters' home precincts and released with cumulative results,99,5060,>98%,>98% reported,edison,6,some,,1073,,,1906,2848,199,67,0,0,0,0,2020-11-11T03:26:01Z,18.76494,R+19,Lewis +19,republican,minnesota,2020-11-11T12:20:02.315675Z
27151,Swift,5147,0,27,30,Merged into voters' home precincts and released with cumulative results,100,5048,>98%,>98% reported,edison,2,unknown,,825,,,1838,3020,226,63,0,0,0,0,2020-11-11T03:26:01Z,22.96483,R+23,Lewis +23,republican,minnesota,2020-11-11T12:20:02.315675Z
27153,Todd,13051,0,38,40,Merged into voters' home precincts and released with cumulative results,100,11902,>98%,>98% reported,edison,2,unknown,,2151,,,3354,8842,650,205,0,0,0,0,2020-11-11T03:26:02Z,42.05042,R+42,Lewis +42,republican,minnesota,2020-11-11T12:20:02.315675Z
27155,Traverse,1826,0,18,20,Merged into voters' home precincts and released with cumulative results,92,1977,92%,92% reported,edison,2,unknown,,405,,,656,1045,98,27,0,0,0,0,2020-11-11T03:26:02Z,21.3034,R+21,Lewis +21,republican,minnesota,2020-11-11T12:20:02.315675Z
27157,Wabasha,12881,0,31,33,Merged into voters' home precincts and released with cumulative results,99,13030,>98%,>98% reported,edison,2,unknown,,1953,,,4513,7535,643,190,0,0,0,0,2020-11-11T03:26:03Z,23.46091,R+23,Lewis +23,republican,minnesota,2020-11-11T12:20:02.315675Z
27159,Wadena,7574,0,24,25,Merged into voters' home precincts and released with cumulative results,100,6881,>98%,>98% reported,edison,2,unknown,,1605,,,1977,5041,419,137,0,0,0,0,2020-11-11T03:25:58Z,40.45419,R+40,Lewis +40,republican,minnesota,2020-11-11T12:20:02.315675Z
27161,Waseca,10209,0,20,22,Merged into voters' home precincts and released with cumulative results,98,10383,98%,98% reported,edison,6,none,,1668,,,3365,6043,629,172,0,0,0,0,2020-11-11T03:25:59Z,26.23176,R+26,Lewis +26,republican,minnesota,2020-11-11T12:20:02.315675Z
27163,Washington,163443,0,81,83,Merged into voters' home precincts and released with cumulative results,98,167313,98%,98% reported,edison,2,some,,35973,,,80479,71906,8382,2676,0,0,0,0,2020-11-11T03:25:59Z,5.24525,D+5,Smith +5,democrat,minnesota,2020-11-11T12:20:02.315675Z
27165,Watonwan,5091,0,18,21,Merged into voters' home precincts and released with cumulative results,100,5076,>98%,>98% reported,edison,2,unknown,,905,,,1960,2752,298,81,0,0,0,0,2020-11-11T03:26:00Z,15.55687,R+16,Lewis +16,republican,minnesota,2020-11-11T12:20:02.315675Z
27167,Wilkin,3363,0,28,32,Merged into voters' home precincts and released with cumulative results,95,3544,95%,95% reported,edison,4,some,,645,,,1096,1993,203,71,0,0,0,0,2020-11-11T03:26:00Z,26.67261,R+27,Lewis +27,republican,minnesota,2020-11-11T12:20:02.315675Z
27169,Winona,26370,0,43,49,Merged into voters' home precincts and released with cumulative results,84,31439,84%,84% reported,edison,2,unknown,,4157,,,12002,11961,1813,594,0,0,0,0,2020-11-11T03:26:01Z,0.15548,D+0.16,Smith +0.16,democrat,minnesota,2020-11-11T12:20:02.315675Z
27171,Wright,84619,0,45,45,Merged into voters' home precincts and released with cumulative results,100,80757,>98%,>98% reported,edison,2,unknown,,13556,,,28141,49659,5227,1592,0,0,0,0,2020-11-11T03:25:57Z,25.42928,R+25,Lewis +25,republican,minnesota,2020-11-11T12:20:02.315675Z
27173,Yellow Medicine,5451,0,27,30,Merged into voters' home precincts and released with cumulative results,100,5356,>98%,>98% reported,edison,2,all,,980,,,1679,3437,270,65,0,0,0,0,2020-11-11T03:25:58Z,32.25096,R+32,Lewis +32,republican,minnesota,2020-11-11T12:20:02.315675Z
