fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_outstanding,absentee_max_ballots,provisional_outstanding,provisional_count_progress,results_trumpd,results_bidenj,results_jorgensenj,results_hawkinsh,results_write_ins,results_absentee_trumpd,results_absentee_bidenj,results_absentee_jorgensenj,results_absentee_hawkinsh,results_absentee_write_ins,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,margin2020,votes2016,margin2016,votes2012,margin2012,state,retrieved_time
48391,Refugio,3366,2532,10,11,Released as a precinct as first report of the night,97,3481,97%,97% reported,edison,2,unknown,,2120,,,2210,1108,26,21,1,1669,832,15,15,1,2020-11-24T13:26:50Z,32.73916,R+33,Trump +33,republican,32.73916,2948,27,2677,24.84,texas,2020-11-25T00:44:10.486132Z
48393,Roberts,550,364,4,5,Released as a precinct as first report of the night,76,720,76%,76% reported,edison,2,unknown,,399,,,529,17,4,0,,351,10,3,0,,2020-11-24T13:26:50Z,93.09091,R+93,Trump +93,republican,93.09091,554,91,508,85.63,texas,2020-11-25T00:44:10.486132Z
48395,Robertson,8099,6528,14,16,Released as a precinct as first report of the night,94,8605,94%,94% reported,edison,2,unknown,,7781,,,5646,2374,66,13,,4586,1884,50,8,,2020-11-24T13:26:50Z,40.40005,R+40,Trump +40,republican,40.40005,7035,35,7287,22.25,texas,2020-11-25T00:44:10.486132Z
48397,Rockwall,57792,52457,18,18,Released as a precinct as first report of the night,100,50672,>98%,>98% reported,edison,2,unknown,,36546,,,38842,18149,642,132,27,35063,16726,531,111,26,2020-11-24T13:26:50Z,35.80599,R+36,Trump +36,republican,35.80599,40180,46.8,35678,53.23,texas,2020-11-25T00:44:10.486132Z
48399,Runnels,4409,3082,10,11,Released as a precinct as first report of the night,99,4467,>98%,>98% reported,edison,2,unknown,,,,,3807,552,39,11,,2667,386,22,7,,2020-11-24T13:26:51Z,73.82626,R+74,Trump +74,republican,73.82626,3782,74,3668,70.47,texas,2020-11-25T00:44:10.486132Z
48401,Rusk,21368,16180,20,23,Released as a precinct as first report of the night,95,22430,95%,95% reported,edison,4,some,,18369,,,16534,4629,155,50,,12377,3677,98,28,,2020-11-24T13:26:51Z,55.71415,R+56,Trump +56,republican,55.71415,19134,56.1,18546,51.08,texas,2020-11-25T00:44:10.486132Z
48403,Sabine,5487,4301,8,9,Released as a precinct as first report of the night,100,5492,>98%,>98% reported,edison,2,some,,4544,,,4784,669,27,7,,3741,536,19,5,,2020-11-24T13:26:51Z,74.99544,R+75,Trump +75,republican,74.99544,4651,72.8,4578,63.78,texas,2020-11-25T00:44:10.486132Z
48405,San Augustine,4002,2931,10,12,Released as a precinct as first report of the night,92,4358,92%,92% reported,edison,2,unknown,,3105,,,3007,980,13,2,,2125,798,7,1,,2020-11-24T13:26:51Z,50.64968,R+51,Trump +51,republican,50.64968,3569,48,3690,34.58,texas,2020-11-25T00:44:10.486132Z
48407,San Jacinto,12638,10411,11,12,Released as a precinct as first report of the night,100,12214,>98%,>98% reported,edison,2,unknown,,9360,,,10161,2337,101,39,,8343,1966,73,29,,2020-11-24T13:26:51Z,61.90853,R+62,Trump +62,republican,61.90853,10343,58.2,9616,48.85,texas,2020-11-25T00:44:10.486132Z
48409,San Patricio,25888,21964,24,26,Released as a precinct as first report of the night,100,25280,>98%,>98% reported,edison,6,all,,19161,,,16516,8988,291,93,,13994,7674,223,73,,2020-11-24T13:26:51Z,29.07911,R+29,Trump +29,republican,29.07911,21656,23.8,20078,20.66,texas,2020-11-25T00:44:10.486132Z
