fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_outstanding,absentee_max_ballots,provisional_outstanding,provisional_count_progress,results_hickenlooperj,results_gardnerc,results_doaner,results_doyled,results_evanss,results_write_ins,results_absentee_hickenlooperj,results_absentee_gardnerc,results_absentee_doaner,results_absentee_doyled,results_absentee_evanss,results_absentee_write_ins,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,state,retrieved_time
08023,Costilla,2026,0,7,8,Other,93,2181,93%,93% reported,edison,4,some,,,,,1277,690,38,12,9,,0,0,0,0,0,,2020-11-11T03:25:06Z,28.97335,D+29,Hickenlooper +29,democrat,colorado,2020-11-12T12:19:56.459270Z
08025,Crowley,1723,0,6,6,Other,100,1675,>98%,>98% reported,edison,4,unknown,,,,,449,1220,36,11,7,,0,0,0,0,0,,2020-11-11T03:25:06Z,44.74753,R+45,Gardner +45,republican,colorado,2020-11-12T12:19:56.459270Z
08027,Custer,3545,0,3,3,Other,98,3618,98%,98% reported,edison,4,all,,,,,1052,2415,62,9,7,,0,0,0,0,0,,2020-11-11T03:25:07Z,38.44852,R+38,Gardner +38,republican,colorado,2020-11-12T12:19:56.459270Z
08029,Delta,19213,0,19,20,Other,97,19812,97%,97% reported,edison,4,all,,,,,5738,13055,306,79,33,2,0,0,0,0,0,0,2020-11-11T03:25:08Z,38.08359,R+38,Gardner +38,republican,colorado,2020-11-12T12:19:56.459270Z
08031,Denver,392801,0,356,356,Other,100,391585,>98%,>98% reported,edison,2,some,,,,,305420,80072,4972,963,1374,,0,0,0,0,0,,2020-11-11T21:51:43Z,57.36951,D+57,Hickenlooper +57,democrat,colorado,2020-11-12T12:19:56.459270Z
08033,Dolores,1410,0,4,4,Other,100,1389,>98%,>98% reported,edison,6,all,,,,,329,1056,17,4,4,,0,0,0,0,0,,2020-11-11T03:25:10Z,51.56028,R+52,Gardner +52,republican,colorado,2020-11-12T12:19:56.459270Z
08035,Douglas,230460,0,169,169,Other,100,222171,>98%,>98% reported,edison,6,all,,,,,97130,129418,3242,328,342,,0,0,0,0,0,,2020-11-11T03:25:11Z,14.01024,R+14,Gardner +14,republican,colorado,2020-11-12T12:19:56.459270Z
08037,Eagle,28062,0,28,30,Other,99,28427,>98%,>98% reported,edison,6,some,,,,,17439,10136,378,51,58,,0,0,0,0,0,,2020-11-11T03:25:41Z,26.02452,D+26,Hickenlooper +26,democrat,colorado,2020-11-12T12:19:56.459270Z
08041,El Paso,373214,0,289,291,Other,100,371068,>98%,>98% reported,edison,2,some,,,,,150623,210141,9725,1438,1287,,0,0,0,0,0,,2020-11-11T03:25:43Z,15.94742,R+16,Gardner +16,republican,colorado,2020-11-12T12:19:56.459270Z
08039,Elbert,18533,0,15,15,Other,98,18854,98%,98% reported,edison,2,unknown,,,,,4165,14026,283,35,24,,0,0,0,0,0,,2020-11-11T03:25:42Z,53.20779,R+53,Gardner +53,republican,colorado,2020-11-12T12:19:56.459270Z
08043,Fremont,24869,0,29,30,Other,96,25928,96%,96% reported,edison,2,unknown,,,,,7007,17166,502,123,71,,0,0,0,0,0,,2020-11-11T03:25:14Z,40.85005,R+41,Gardner +41,republican,colorado,2020-11-12T12:19:56.459270Z
08045,Garfield,30102,0,26,27,Other,96,31235,96%,96% reported,edison,4,all,,,,,14649,14709,589,88,67,,0,0,0,0,0,,2020-11-11T03:25:14Z,0.19932,R+0.20,Gardner +0.20,republican,colorado,2020-11-12T12:19:56.459270Z
08047,Gilpin,4133,0,6,6,Other,99,4160,>98%,>98% reported,edison,2,unknown,,,,,2158,1852,98,15,10,,0,0,0,0,0,,2020-11-11T03:25:15Z,7.40382,D+7,Hickenlooper +7,democrat,colorado,2020-11-12T12:19:56.459270Z
08049,Grand,9810,0,12,12,Other,97,10134,97%,97% reported,edison,2,unknown,,,,,4542,5051,175,28,14,,0,0,0,0,0,,2020-11-11T03:25:37Z,5.18858,R+5,Gardner +5,republican,colorado,2020-11-12T12:19:56.459270Z
08051,Gunnison,10842,0,15,15,Other,98,11106,98%,98% reported,edison,2,all,,,,,6772,3842,186,28,14,0,0,0,0,0,0,0,2020-11-11T03:25:38Z,27.02453,D+27,Hickenlooper +27,democrat,colorado,2020-11-12T12:19:56.459270Z
