fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_outstanding,absentee_max_ballots,provisional_outstanding,provisional_count_progress,results_trumpd,results_bidenj,results_jorgensenj,results_hawkinsh,results_write_ins,results_absentee_trumpd,results_absentee_bidenj,results_absentee_jorgensenj,results_absentee_hawkinsh,results_absentee_write_ins,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,margin2020,votes2016,margin2016,votes2012,margin2012,state,retrieved_time
54087,Roane,5763,0,18,18,Merged into voters' home precincts and released with cumulative results,100,5772,>98%,>98% reported,edison,2,unknown,,3131,,,4213,1455,69,26,0,0,0,0,0,0,2020-11-09T20:13:39Z,47.85702,R+48,Trump +48,republican,47.85702,5315,48.1,5047,20.67,west-virginia,2020-11-10T20:51:52.822476Z
54089,Summers,5593,0,14,14,Merged into voters' home precincts and released with cumulative results,100,5600,>98%,>98% reported,edison,2,unknown,,2744,,,4074,1448,52,11,8,0,0,0,0,0,2020-11-09T17:37:38Z,46.95155,R+47,Trump +47,republican,46.95155,4893,46.3,4735,28.72,west-virginia,2020-11-10T20:51:52.822476Z
54091,Taylor,7334,0,19,19,Other,100,7146,>98%,>98% reported,edison,2,unknown,,2168,,,5439,1787,86,22,0,0,0,0,0,0,2020-11-04T10:43:52Z,49.79547,R+50,Trump +50,republican,49.79547,6593,49.2,5908,32.14,west-virginia,2020-11-10T20:51:52.822476Z
54093,Tucker,3844,0,11,11,Merged into voters' home precincts and released with cumulative results,100,3799,>98%,>98% reported,edison,2,unknown,,1285,,,2841,938,54,11,0,0,0,0,0,0,2020-11-09T18:38:38Z,49.50572,R+50,Trump +50,republican,49.50572,3501,51.8,3138,41.3,west-virginia,2020-11-10T20:51:52.822476Z
54095,Tyler,3922,0,10,10,Other,98,4019,98%,98% reported,edison,2,unknown,,1402,,,3226,631,56,9,0,0,0,0,0,0,2020-11-09T18:19:38Z,66.16522,R+66,Trump +66,republican,66.16522,3692,67.4,3279,43.43,west-virginia,2020-11-10T20:51:52.822476Z
54097,Upshur,10221,0,21,21,Merged into voters' home precincts and released with cumulative results,100,10140,>98%,>98% reported,edison,2,unknown,,5370,,,7771,2256,167,27,0,0,0,0,0,0,2020-11-09T21:38:40Z,53.95754,R+54,Trump +54,republican,53.95754,9298,56.3,8273,45.7,west-virginia,2020-11-10T20:51:52.822476Z
54099,Wayne,16735,6645,35,35,Released as a separate subtotal as first report of the night,100,16700,>98%,>98% reported,edison,4,all,,3987,,,12462,3964,218,50,41,4296,2292,18,18,21,2020-11-04T10:43:53Z,50.7798,R+51,Trump +51,republican,50.7798,15347,50.8,13955,26.92,west-virginia,2020-11-10T20:51:52.822476Z
54101,Webster,3402,0,14,14,Merged into voters' home precincts and released with cumulative results,100,3276,>98%,>98% reported,edison,2,unknown,,1074,,,2759,610,23,10,0,0,0,0,0,0,2020-11-09T22:09:39Z,63.16872,R+63,Trump +63,republican,63.16872,3011,58,2755,27.7,west-virginia,2020-11-10T20:51:52.822476Z
54103,Wetzel,6667,0,21,22,Merged into voters' home precincts and released with cumulative results,97,6892,97%,97% reported,edison,2,unknown,,2730,,,4993,1539,103,32,0,0,0,0,0,0,2020-11-09T20:13:39Z,51.80741,R+52,Trump +52,republican,51.80741,6312,50.1,5856,21.45,west-virginia,2020-11-10T20:51:52.822476Z
54105,Wirt,2653,0,9,9,None,100,2664,>98%,>98% reported,edison,2,unknown,,1184,,,2134,466,45,8,0,0,0,0,0,0,2020-11-10T19:03:46Z,62.87222,R+63,Trump +63,republican,62.87222,2422,63,2171,34.59,west-virginia,2020-11-10T20:51:52.822476Z
54107,Wood,38403,0,68,68,Released as a separate subtotal as first report of the night,100,38487,>98%,>98% reported,edison,6,unknown,,20197,,,26963,10816,514,110,0,0,0,0,0,0,2020-11-08T16:44:46Z,42.04619,R+42,Trump +42,republican,42.04619,36063,47.2,33977,32.24,west-virginia,2020-11-10T20:51:52.822476Z
54109,Wyoming,8485,0,27,27,Other,99,8614,>98%,>98% reported,edison,2,unknown,,1854,,,7254,1149,66,16,0,0,0,0,0,0,2020-11-04T10:43:56Z,71.9505,R+72,Trump +72,republican,71.9505,7880,69.6,7523,55.64,west-virginia,2020-11-10T20:51:52.822476Z
