fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_outstanding,absentee_max_ballots,provisional_outstanding,provisional_count_progress,results_trumpd,results_bidenj,results_jorgensenj,results_hawkinsh,results_blankenshipd,results_write_ins,results_absentee_trumpd,results_absentee_bidenj,results_absentee_jorgensenj,results_absentee_hawkinsh,results_absentee_blankenshipd,results_absentee_write_ins,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,margin2020,votes2016,margin2016,votes2012,margin2012,state,retrieved_time
37073,Gates,5944,4385,5,6,Released as a precinct as first report of the night,99,6000,>98%,>98% reported,edison,2,unknown,,3654,,,3354,2540,39,4,7,0,2194,2165,19,3,4,0,2020-11-04T10:44:00Z,13.69448,R+14,Trump +14,republican,13.69448,5392,9.1,5396,-4.11,north-carolina,2020-11-10T20:52:10.365623Z
37075,Graham,4619,3478,4,4,Released as a precinct as first report of the night,100,4606,>98%,>98% reported,edison,6,some,,3416,,,3673,902,26,5,13,0,2712,735,19,3,9,0,2020-11-09T13:50:48Z,59.99134,R+60,Trump +60,republican,59.99134,4168,60.3,3947,41.32,north-carolina,2020-11-10T20:52:10.365623Z
37077,Granville,31316,26705,14,15,Released as a separate subtotal as first report of the night,98,32031,98%,98% reported,edison,2,unknown,,28165,,,16548,14448,238,51,31,0,13630,12837,176,37,25,0,2020-11-04T10:44:01Z,6.70584,R+7,Trump +7,republican,6.70584,27353,2.5,26275,-4.54,north-carolina,2020-11-10T20:52:10.365623Z
37079,Greene,8715,6671,9,10,Released as a precinct as first report of the night,100,8715,>98%,>98% reported,edison,6,unknown,,7894,,,4858,3820,25,8,4,0,3403,3241,17,6,4,0,2020-11-04T10:44:01Z,11.9105,R+12,Trump +12,republican,11.9105,8095,9.5,8236,7.69,north-carolina,2020-11-10T20:52:10.365623Z
37081,Guilford,281201,237941,144,165,Released as a precinct as first report of the night,100,280121,>98%,>98% reported,edison,6,all,,278304,,,106384,171538,2178,687,414,0,84933,150669,1535,506,298,0,2020-11-04T10:44:02Z,23.1699,D+23,Biden +23,democrat,-23.1699,257405,-19.9,253852,-16.38,north-carolina,2020-11-10T20:52:10.365623Z
37083,Halifax,25485,20282,15,19,"As a precinct in the FIRST cumulative report, along with regular precincts",100,25485,>98%,>98% reported,edison,6,unknown,,24816,,,9973,15382,61,30,22,17,7484,12726,37,20,15,0,2020-11-04T10:44:02Z,21.22425,D+21,Biden +21,democrat,-21.22425,25167,-26.7,26079,-32.26,north-carolina,2020-11-10T20:52:10.365623Z
37085,Harnett,57733,48836,13,13,Released as a precinct as first report of the night,100,58000,>98%,>98% reported,edison,2,unknown,,39147,,,34905,21839,686,123,80,100,29015,19156,510,90,65,0,2020-11-04T10:44:02Z,22.63177,R+23,Trump +23,republican,22.63177,46065,23.6,43415,18.97,north-carolina,2020-11-10T20:52:10.365623Z
37087,Haywood,36265,29155,27,29,Released as a separate subtotal as first report of the night,98,37000,98%,98% reported,edison,2,unknown,,25560,,,22698,13095,329,89,54,0,17227,11593,224,62,49,0,2020-11-04T10:44:04Z,26.48008,R+26,Trump +26,republican,26.48008,30727,27.5,27974,13.58,north-carolina,2020-11-10T20:52:10.365623Z
37089,Henderson,67773,56513,33,35,Released as a separate subtotal as first report of the night,99,68315,>98%,>98% reported,edison,2,unknown,,53818,,,39810,27014,652,169,128,0,31538,24295,453,128,99,0,2020-11-04T10:44:05Z,18.88068,R+19,Trump +19,republican,18.88068,58176,27.5,52392,27.39,north-carolina,2020-11-10T20:52:10.365623Z
37091,Hertford,10590,8536,11,13,Released as a precinct as first report of the night,100,10590,>98%,>98% reported,edison,6,some,,10362,,,3470,7077,28,8,7,0,2486,6015,21,7,7,0,2020-11-04T10:44:06Z,34.06043,D+34,Biden +34,democrat,-34.06043,10186,-37.4,10918,-44.29,north-carolina,2020-11-10T20:52:10.365623Z
37093,Hoke,22078,17667,14,15,Released as a precinct as first report of the night,100,21348,>98%,>98% reported,edison,2,unknown,,17363,,,9682,12036,274,53,33,0,7212,10221,172,40,22,0,2020-11-07T23:47:48Z,10.6622,D+11,Biden +11,democrat,-10.6622,18230,-10.8,17089,-19.06,north-carolina,2020-11-10T20:52:10.365623Z
37095,Hyde,2470,1235,6,7,"As a subtotal in the FIRST cumulative report, along with regular precincts",100,2470,>98%,>98% reported,edison,6,unknown,,1194,,,1408,1035,16,6,1,4,547,680,3,1,1,3,2020-11-04T10:44:07Z,15.10121,R+15,Trump +15,republican,15.10121,2304,14,2383,1.26,north-carolina,2020-11-10T20:52:10.365623Z
37097,Iredell,101276,82806,28,29,Released as a precinct as first report of the night,99,102000,>98%,>98% reported,edison,4,unknown,,70424,,,66439,33426,865,173,145,228,52525,29239,605,157,101,179,2020-11-04T10:44:08Z,32.59706,R+33,Trump +33,republican,32.59706,82567,36.4,76365,30.41,north-carolina,2020-11-10T20:52:10.365623Z
37099,Jackson,21237,17527,12,13,Released as a precinct as first report of the night,100,21191,>98%,>98% reported,edison,6,all,,15877,,,11263,9522,247,101,58,46,8627,8554,179,78,43,46,2020-11-04T10:44:08Z,8.19796,R+8,Trump +8,republican,8.19796,18713,11.5,16701,0.95,north-carolina,2020-11-10T20:52:10.365623Z
37101,Johnston,110246,91684,36,36,Released as a precinct as first report of the night,99,111000,>98%,>98% reported,edison,4,unknown,,69318,,,67901,40861,1128,209,147,0,54373,36194,835,169,113,0,2020-11-04T10:44:08Z,24.52697,R+25,Trump +25,republican,24.52697,85909,30.3,76691,27.56,north-carolina,2020-11-10T20:52:10.365623Z
37103,Jones,5484,3807,6,7,Released as a separate subtotal as first report of the night,97,5672,97%,97% reported,edison,4,unknown,,3869,,,3267,2175,32,5,5,0,2112,1668,19,4,4,0,2020-11-04T10:44:09Z,19.91247,R+20,Trump +20,republican,19.91247,5135,17.7,5230,9.27,north-carolina,2020-11-10T20:52:10.365623Z
37105,Lee,28851,28851,0,10,Released as a precinct as first report of the night,98,29374,98%,98% reported,edison,4,unknown,,27472,,,16388,12076,231,62,47,47,16388,12076,231,62,47,47,2020-11-04T10:44:09Z,14.94576,R+15,Trump +15,republican,14.94576,25084,12.9,24239,9.72,north-carolina,2020-11-10T20:52:10.365623Z
37107,Lenoir,28177,23724,18,22,Released as a separate subtotal as first report of the night,100,28200,>98%,>98% reported,edison,2,unknown,,31206,,,14500,13494,124,29,30,0,11753,11844,84,21,22,0,2020-11-04T10:44:09Z,3.57029,R+4,Trump +4,republican,3.57029,26807,3.7,28086,0.11,north-carolina,2020-11-10T20:52:10.365623Z
37109,Lincoln,49850,41612,23,23,Released as a precinct as first report of the night,100,50000,>98%,>98% reported,edison,2,unknown,,32125,,,36167,13178,367,82,56,0,29494,11758,255,59,46,0,2020-11-04T10:44:09Z,46.11635,R+46,Trump +46,republican,46.11635,40023,47.2,36775,38.73,north-carolina,2020-11-10T20:52:10.365623Z
37113,Macon,20647,16668,14,15,Released as a separate subtotal as first report of the night,99,20767,>98%,>98% reported,edison,4,all,,16526,,,14152,6213,169,31,24,58,10984,5472,116,19,19,58,2020-11-04T10:44:10Z,38.45111,R+38,Trump +38,republican,38.45111,17734,40.9,16861,30.38,north-carolina,2020-11-10T20:52:10.365623Z
37115,Madison,13000,10394,11,12,Released as a separate subtotal as first report of the night,98,13233,98%,98% reported,edison,2,unknown,,9320,,,7928,4878,103,36,19,36,5935,4349,73,24,13,0,2020-11-04T10:44:10Z,23.46154,R+23,Trump +23,republican,23.46154,11269,25.4,10113,9.1,north-carolina,2020-11-10T20:52:10.365623Z
37117,Martin,12536,8883,11,13,Released as a precinct as first report of the night,100,12454,>98%,>98% reported,edison,6,all,,9738,,,6529,5910,59,13,16,9,3991,4838,37,9,8,0,2020-11-10T18:32:21Z,4.93778,R+5,Trump +5,republican,4.93778,11964,0.4,12652,-4.65,north-carolina,2020-11-10T20:52:10.365623Z
37111,McDowell,22910,17162,16,17,Released as a precinct as first report of the night,100,22891,>98%,>98% reported,edison,6,all,,16757,,,16852,5813,180,45,20,0,12173,4837,112,27,13,0,2020-11-09T21:54:39Z,48.1842,R+48,Trump +48,republican,48.1842,19875,49.8,18099,31.74,north-carolina,2020-11-10T20:52:10.365623Z
