fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_outstanding,absentee_max_ballots,provisional_outstanding,provisional_count_progress,results_sasseb,results_janicekc,results_siadekg,results_write_ins,results_absentee_sasseb,results_absentee_janicekc,results_absentee_siadekg,results_absentee_write_ins,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,state,retrieved_time
31041,Custer,5716,0,27,30,Released as a precinct in the middle of the night,90,6330,90%,90% reported,edison,2,unknown,,1726,,,4824,531,361,,0,0,0,,2020-11-21T00:00:43Z,75.10497,R+75,Sasse +75,republican,nebraska,2020-11-21T00:45:42.185439Z
31043,Dakota,6426,0,13,14,Released as a precinct as first report of the night,91,7032,91%,91% reported,edison,2,unknown,,2150,,,3951,2235,240,,0,0,0,,2020-11-16T15:48:18Z,26.70401,R+27,Sasse +27,republican,nebraska,2020-11-21T00:45:42.185439Z
31045,Dawes,3918,0,11,12,"As a precinct in the FIRST cumulative report, along with regular precincts",94,4156,94%,94% reported,edison,2,unknown,,2669,,,2883,785,250,,0,0,0,,2020-11-16T15:48:19Z,53.54773,R+54,Sasse +54,republican,nebraska,2020-11-21T00:45:42.185439Z
31047,Dawson,8888,3288,19,21,Released as a precinct as first report of the night,92,9671,92%,92% reported,edison,2,some,,2261,,,6429,1819,475,165,2139,879,153,117,2020-11-16T15:48:20Z,51.86769,R+52,Sasse +52,republican,nebraska,2020-11-21T00:45:42.185439Z
31049,Deuel,1003,0,3,3,None,89,1133,89%,89% reported,edison,2,unknown,,274,,,837,104,62,0,0,0,0,0,2020-11-16T15:48:20Z,73.08076,R+73,Sasse +73,republican,nebraska,2020-11-21T00:45:42.185439Z
31051,Dixon,2913,0,12,13,Other,93,3116,93%,93% reported,edison,2,unknown,,3510,,,2206,501,206,,0,0,0,,2020-11-16T15:48:21Z,58.53072,R+59,Sasse +59,republican,nebraska,2020-11-21T00:45:42.185439Z
31053,Dodge,15879,0,31,34,"As a precinct in the FIRST cumulative report, along with regular precincts",91,17392,91%,91% reported,edison,4,unknown,,4152,,,11397,3408,1074,,0,0,0,,2020-11-21T00:00:43Z,50.31173,R+50,Sasse +50,republican,nebraska,2020-11-21T00:45:42.185439Z
31055,Douglas,263263,0,232,237,Released separately AFTER election night,98,269285,98%,98% reported,edison,2,unknown,,125011,,,134032,84772,15627,28832,0,0,0,0,2020-11-16T15:48:21Z,18.71133,R+19,Sasse +19,republican,nebraska,2020-11-21T00:45:42.185439Z
31057,Dundy,960,0,4,4,Released as a separate subtotal as first report of the night,87,1100,87%,87% reported,edison,2,unknown,,334,,,835,77,48,,0,0,0,,2020-11-16T15:48:22Z,78.95833,R+79,Sasse +79,republican,nebraska,2020-11-21T00:45:42.185439Z
31059,Fillmore,3009,0,9,10,"As a precinct in the FIRST cumulative report, along with regular precincts",91,3294,91%,91% reported,edison,2,unknown,,917,,,2418,435,156,,0,0,0,,2020-11-16T15:48:22Z,65.90229,R+66,Sasse +66,republican,nebraska,2020-11-21T00:45:42.185439Z
31061,Franklin,1659,0,4,5,Released as a precinct as first report of the night,89,1874,89%,89% reported,edison,2,unknown,,590,,,1398,190,71,,0,0,0,,2020-11-21T00:00:43Z,72.81495,R+73,Sasse +73,republican,nebraska,2020-11-21T00:45:42.185439Z
31063,Frontier,1385,0,5,5,Merged into voters' home precincts and released with cumulative results,93,1487,93%,93% reported,edison,2,unknown,,342,,,1183,129,73,,0,0,0,,2020-11-16T15:48:23Z,76.10108,R+76,Sasse +76,republican,nebraska,2020-11-21T00:45:42.185439Z
31065,Furnas,2517,0,8,8,None,96,2621,96%,96% reported,edison,2,unknown,,478,,,2079,277,161,,0,0,0,,2020-11-16T15:48:23Z,71.59317,R+72,Sasse +72,republican,nebraska,2020-11-21T00:45:42.185439Z
31067,Gage,10516,0,10,11,None,93,11254,93%,93% reported,edison,4,all,,6456,,,7656,2240,620,,0,0,0,,2020-11-16T15:48:24Z,51.50247,R+52,Sasse +52,republican,nebraska,2020-11-21T00:45:42.185439Z
31069,Garden,1139,0,1,1,Merged into voters' home precincts and released with cumulative results,93,1219,93%,93% reported,edison,2,unknown,,403,,,938,127,74,,0,0,0,,2020-11-16T15:47:41Z,71.20281,R+71,Sasse +71,republican,nebraska,2020-11-21T00:45:42.185439Z
