fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_outstanding,absentee_max_ballots,provisional_outstanding,provisional_count_progress,results_perdued,results_ossoffj,results_hazels,results_write_ins,results_absentee_perdued,results_absentee_ossoffj,results_absentee_hazels,results_absentee_write_ins,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,state,retrieved_time
13001,Appling,8187,6104,9,9,None,98,8341,98%,98% reported,edison,10,unknown,,4621,,,6306,1753,128,,4611,1398,95,,2020-11-20T21:19:18Z,55.61256,R+56,Perdue +56,republican,georgia,2020-11-21T00:45:09.985364Z
13003,Atkinson,3097,2144,4,4,None,98,3155,98%,98% reported,edison,10,unknown,,2338,,,2272,773,52,0,1562,553,29,0,2020-11-20T21:19:48Z,48.40168,R+48,Perdue +48,republican,georgia,2020-11-21T00:45:09.985364Z
13005,Bacon,4590,4021,1,1,"As a precinct in the FIRST cumulative report, along with regular precincts",98,4668,98%,98% reported,edison,10,some,,3600,,,3929,591,70,,3512,463,46,,2020-11-20T21:21:10Z,72.72331,R+73,Perdue +73,republican,georgia,2020-11-21T00:45:09.985364Z
13007,Baker,1534,1094,5,5,"Released as first report, then NOT included in cumulative results",99,1555,>98%,>98% reported,edison,10,unknown,,1091,,,873,648,13,,582,503,9,,2020-11-20T21:22:29Z,14.66754,R+15,Perdue +15,republican,georgia,2020-11-21T00:45:09.985364Z
13009,Baldwin,18082,14622,14,14,Other,99,18251,>98%,>98% reported,edison,10,all,,14066,,,8873,8783,426,,7024,7282,316,,2020-11-20T21:23:07Z,0.49773,R+0.50,Perdue +0.50,republican,georgia,2020-11-21T00:45:09.985364Z
13011,Banks,8725,6908,13,13,None,99,8801,>98%,>98% reported,edison,10,unknown,,3683,,,7636,899,190,,6030,745,133,,2020-11-20T21:23:34Z,77.2149,R+77,Perdue +77,republican,georgia,2020-11-21T00:45:09.985364Z
13013,Barrow,37627,29762,8,8,None,99,38017,>98%,>98% reported,edison,10,unknown,,20877,,,26317,10066,1193,51,20630,8300,832,0,2020-11-20T23:04:49Z,43.18973,R+43,Perdue +43,republican,georgia,2020-11-21T00:45:09.985364Z
13015,Bartow,50034,37419,17,17,None,99,50467,>98%,>98% reported,edison,10,unknown,,25757,,,37009,11664,1361,,27074,9467,878,,2020-11-20T01:33:48Z,50.65555,R+51,Perdue +51,republican,georgia,2020-11-21T00:45:09.985364Z
13017,Ben Hill,6477,5686,3,3,Other,99,6560,>98%,>98% reported,edison,10,unknown,,5778,,,4077,2284,116,,3650,1945,91,,2020-11-20T21:24:47Z,27.68257,R+28,Perdue +28,republican,georgia,2020-11-21T00:45:09.985364Z
13019,Berrien,7650,5471,5,5,Released as a separate subtotal as first report of the night,99,7743,>98%,>98% reported,edison,10,unknown,,4416,,,6286,1204,160,,4488,879,104,,2020-11-20T21:25:27Z,66.43137,R+66,Perdue +66,republican,georgia,2020-11-21T00:45:09.985364Z
13021,Bibb,69987,52909,31,31,Released as a separate subtotal in the middle of the tabulation,99,70802,>98%,>98% reported,edison,10,unknown,,38674,,,26645,41928,1414,,18728,33210,971,,2020-11-20T21:26:15Z,21.83691,D+22,Ossoff +22,democrat,georgia,2020-11-21T00:45:09.985364Z
13023,Bleckley,5644,4386,1,1,Merged into voters' home precincts and released with cumulative results,99,5706,>98%,>98% reported,edison,10,unknown,,4032,,,4281,1249,114,,3348,957,81,,2020-11-20T21:27:16Z,53.72077,R+54,Perdue +54,republican,georgia,2020-11-21T00:45:09.985364Z
