fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_outstanding,absentee_max_ballots,provisional_outstanding,provisional_count_progress,results_trumpd,results_bidenj,results_jorgensenj,results_hawkinsh,results_write_ins,results_blankenshipd,results_absentee_trumpd,results_absentee_bidenj,results_absentee_jorgensenj,results_absentee_hawkinsh,results_absentee_write_ins,results_absentee_blankenshipd,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,margin2020,votes2016,margin2016,votes2012,margin2012,state,retrieved_time
29171,Putnam,2361,0,8,9,None,96,2458,96%,96% reported,edison,2,unknown,,506,,,1984,361,13,0,,3,0,0,0,0,,0,2020-11-11T03:25:46Z,68.74206,R+69,Trump +69,republican,68.74206,2346,67.5,2309,47.03,missouri,2020-11-14T00:42:37.072005Z
29173,Ralls,5662,0,8,8,Released separately AFTER election night,100,5517,>98%,>98% reported,edison,2,unknown,,838,,,4396,1205,51,7,,3,0,0,0,0,,0,2020-11-11T03:25:47Z,56.35818,R+56,Trump +56,republican,56.35818,5294,53.5,5036,29.69,missouri,2020-11-14T00:42:37.072005Z
29175,Randolph,10742,0,14,15,None,99,10800,>98%,>98% reported,edison,2,unknown,,1270,,,8018,2485,200,25,,14,0,0,0,0,,0,2020-11-11T03:25:47Z,51.5081,R+52,Trump +52,republican,51.5081,10408,50.4,9944,36.56,missouri,2020-11-14T00:42:37.072005Z
29177,Ray,11654,2781,12,12,Released as a precinct as first report of the night,100,11533,>98%,>98% reported,edison,6,unknown,,1498,,,8328,3107,144,28,26,21,1662,1092,17,2,4,4,2020-11-11T03:25:49Z,44.80007,R+45,Trump +45,republican,44.80007,10945,36.7,10367,14.85,missouri,2020-11-14T00:42:37.072005Z
29179,Reynolds,3298,0,14,14,Released as a precinct as first report of the night,98,3354,98%,98% reported,edison,2,unknown,,616,,,2733,529,24,8,,4,0,0,0,0,,0,2020-11-11T03:25:50Z,66.82838,R+67,Trump +67,republican,66.82838,3038,61.4,3202,24.17,missouri,2020-11-14T00:42:37.072005Z
29181,Ripley,5743,0,7,7,Released as a precinct as first report of the night,100,5743,>98%,>98% reported,edison,6,unknown,,717,,,4838,833,34,34,0,4,0,0,0,0,0,0,2020-11-11T03:25:51Z,69.73707,R+70,Trump +70,republican,69.73707,5524,66.8,5263,44.59,missouri,2020-11-14T00:42:37.072005Z
29195,Saline,9528,1995,15,16,Released as a precinct as first report of the night,100,9528,>98%,>98% reported,edison,6,all,,1262,,,6447,2903,135,23,14,6,987,980,19,5,4,0,2020-11-11T03:25:58Z,37.19563,R+37,Trump +37,republican,37.19563,9274,34.4,9108,14.43,missouri,2020-11-14T00:42:37.072005Z
29197,Schuyler,2005,0,5,5,Released as a precinct as first report of the night,100,2005,>98%,>98% reported,edison,6,all,,286,,,1606,373,20,3,2,1,0,0,0,0,0,0,2020-11-11T03:25:58Z,61.49626,R+61,Trump +61,republican,61.49626,1936,59.5,1939,24.6,missouri,2020-11-14T00:42:37.072005Z
29199,Scotland,1985,459,5,6,Released as a precinct as first report of the night,100,1985,>98%,>98% reported,edison,6,all,,466,,,1560,387,25,7,2,4,304,149,6,0,0,0,2020-11-11T03:26:00Z,59.0932,R+59,Trump +59,republican,59.0932,1981,58.6,1936,31.15,missouri,2020-11-14T00:42:37.072005Z
29201,Scott,17748,0,20,21,Released as a precinct as first report of the night,100,17748,>98%,>98% reported,edison,6,all,,1589,,,13769,3753,156,29,30,11,0,0,0,0,0,0,2020-11-11T03:26:00Z,56.43453,R+56,Trump +56,republican,56.43453,17337,55.3,16999,38.24,missouri,2020-11-14T00:42:37.072005Z
29203,Shannon,3908,639,7,8,Released as a precinct as first report of the night,96,4090,96%,96% reported,edison,4,all,,706,,,3164,706,24,8,3,3,393,239,3,2,1,1,2020-11-11T03:26:01Z,62.89662,R+63,Trump +63,republican,62.89662,3904,56.1,3692,26,missouri,2020-11-14T00:42:37.072005Z
29205,Shelby,3355,667,7,7,Released as a precinct at the end of tabulation,100,3355,>98%,>98% reported,edison,6,all,,602,,,2699,592,46,8,6,4,458,199,5,1,4,0,2020-11-11T03:26:02Z,62.80179,R+63,Trump +63,republican,62.80179,3274,58.6,3232,37.81,missouri,2020-11-14T00:42:37.072005Z
29183,St. Charles,222175,0,123,123,Released as a precinct in the middle of the night,100,222175,>98%,>98% reported,edison,6,all,,9973,,,128193,89346,3308,525,574,229,0,0,0,0,0,0,2020-11-11T03:25:52Z,17.48487,R+17,Trump +17,republican,17.48487,203184,26.1,185690,20.97,missouri,2020-11-14T00:42:37.072005Z
29185,St. Clair,4972,731,10,10,Released as a precinct as first report of the night,96,5172,96%,96% reported,edison,6,unknown,,782,,,3930,988,43,7,,4,443,282,3,2,,1,2020-11-11T03:25:53Z,59.17136,R+59,Trump +59,republican,59.17136,4630,55.4,4626,33.7,missouri,2020-11-14T00:42:37.072005Z
29187,St. Francois,27996,0,22,22,Released as a separate subtotal as first report of the night,100,25893,>98%,>98% reported,edison,2,unknown,,3432,,,20506,7044,337,73,,36,0,0,0,0,,0,2020-11-11T03:25:54Z,48.08544,R+48,Trump +48,republican,48.08544,24920,45,22582,19.57,missouri,2020-11-14T00:42:37.072005Z
29510,St. Louis City,131765,46877,203,222,None,100,131765,>98%,>98% reported,edison,6,all,,23331,,,21185,108385,1471,590,,134,4683,41770,254,129,,41,2020-11-11T03:25:55Z,66.17842,D+66,Biden +66,democrat,-66.17842,132487,-63,143607,-66.74,missouri,2020-11-14T00:42:37.072005Z
29189,St. Louis County,528075,217350,1163,1247,Merged into voters' home precincts and released with cumulative results,91,581544,91%,91% reported,edison,4,all,,107806,,,196808,322802,6042,1627,,796,58936,156445,1263,430,,276,2020-11-11T03:25:54Z,23.85911,D+24,Biden +24,democrat,-23.85911,519686,-16.2,528676,-13.69,missouri,2020-11-14T00:42:37.072005Z
29186,Ste. Genevieve,9495,1923,13,13,Released as a precinct as first report of the night,100,8871,>98%,>98% reported,edison,4,all,,888,,,6627,2713,111,14,14,16,1033,860,20,2,5,3,2020-11-11T03:25:56Z,41.2217,R+41,Trump +41,republican,41.2217,8512,34.7,8070,3,missouri,2020-11-14T00:42:37.072005Z
29207,Stoddard,13410,3794,10,11,None,96,13924,96%,96% reported,edison,4,all,,1728,,,11460,1814,99,16,13,8,3022,747,20,2,2,1,2020-11-11T03:26:03Z,71.93139,R+72,Trump +72,republican,71.93139,13291,69.2,12866,49.3,missouri,2020-11-14T00:42:37.072005Z
29209,Stone,18378,0,22,22,Released as a precinct as first report of the night,100,18000,>98%,>98% reported,edison,2,unknown,,2683,,,14716,3486,145,22,,9,0,0,0,0,,0,2020-11-11T03:26:03Z,61.10567,R+61,Trump +61,republican,61.10567,16645,61.7,15984,49.2,missouri,2020-11-14T00:42:37.072005Z
29211,Sullivan,2471,0,14,15,Released as a precinct as first report of the night,91,2719,91%,91% reported,edison,2,unknown,,542,,,1974,478,14,2,,3,0,0,0,0,,0,2020-11-11T03:26:03Z,60.54229,R+61,Trump +61,republican,60.54229,2486,54.6,2595,27.05,missouri,2020-11-14T00:42:37.072005Z
29213,Taney,26240,5836,21,21,Released as a precinct as first report of the night,100,26240,>98%,>98% reported,edison,6,all,,4126,,,20426,5325,326,67,67,29,3847,1927,40,7,11,4,2020-11-11T03:26:04Z,57.54954,R+58,Trump +58,republican,57.54954,23673,58.7,21659,47.4,missouri,2020-11-14T00:42:37.072005Z
29215,Texas,11332,2038,10,11,Released as a precinct as first report of the night,99,11478,>98%,>98% reported,edison,4,all,,1778,,,9478,1716,93,14,17,14,1456,561,16,1,0,4,2020-11-11T03:26:05Z,68.49629,R+68,Trump +68,republican,68.49629,10956,65.2,10764,44.1,missouri,2020-11-14T00:42:37.072005Z
29217,Vernon,9164,0,16,17,Released as a precinct as first report of the night,100,9009,>98%,>98% reported,edison,2,unknown,,1666,,,7135,1902,110,12,,5,0,0,0,0,,0,2020-11-11T03:26:05Z,57.10388,R+57,Trump +57,republican,57.10388,8631,55.9,8521,37.3,missouri,2020-11-14T00:42:37.072005Z
29219,Warren,18373,0,24,24,Released as a precinct as first report of the night,100,16536,>98%,>98% reported,edison,2,unknown,,1838,,,13222,4769,322,42,,18,0,0,0,0,,0,2020-11-11T03:26:06Z,46.00773,R+46,Trump +46,republican,46.00773,15784,45.6,14676,26.79,missouri,2020-11-14T00:42:37.072005Z
29221,Washington,9971,0,14,14,Released as a separate subtotal as first report of the night,100,2284,>98%,>98% reported,edison,6,none,,1411,,,8046,1804,94,21,,6,0,0,0,0,,0,2020-11-11T03:26:06Z,62.60154,R+63,Trump +63,republican,62.60154,9331,54.9,8695,19.02,missouri,2020-11-14T00:42:37.072005Z
29223,Wayne,5874,0,9,10,None,97,6036,97%,97% reported,edison,2,unknown,,627,,,4984,844,36,4,,6,0,0,0,0,,0,2020-11-11T03:26:07Z,70.48008,R+70,Trump +70,republican,70.48008,5762,64.4,5720,34.56,missouri,2020-11-14T00:42:37.072005Z
29225,Webster,18776,7417,13,13,Released as a precinct as first report of the night,100,18776,>98%,>98% reported,edison,6,all,,2230,,,14874,3572,254,33,4,39,5992,1274,120,18,0,13,2020-11-11T03:26:07Z,60.19386,R+60,Trump +60,republican,60.19386,16743,57.7,15429,40.83,missouri,2020-11-14T00:42:37.072005Z
29227,Worth,1107,0,8,8,Released as a precinct as first report of the night,100,1098,>98%,>98% reported,edison,2,unknown,,224,,,877,215,14,0,,1,0,0,0,0,,0,2020-11-11T03:26:08Z,59.80126,R+60,Trump +60,republican,59.80126,1046,58.6,1048,30.82,missouri,2020-11-14T00:42:37.072005Z
29229,Wright,8737,0,11,11,Released as a precinct as first report of the night,100,8737,>98%,>98% reported,edison,6,all,,1078,,,7452,1167,94,15,,9,0,0,0,0,,0,2020-11-11T03:26:08Z,71.93545,R+72,Trump +72,republican,71.93545,8119,68.2,7955,48.74,missouri,2020-11-14T00:42:37.072005Z
