fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_outstanding,absentee_max_ballots,provisional_outstanding,provisional_count_progress,results_bidenj,results_trumpd,results_jorgensenj,results_hawkinsh,results_westk,results_blankenshipd,results_hammonsb,results_charlesm,results_carrollb,results_kopitkek,results_la_rivag,results_de_la_fuenter,results_mchughj,results_pierceb,results_collinsp,results_jacob_fambrop,results_hunterd,results_huberb,results_kennedya,results_scottj,results_kishorej,results_write_ins,results_absentee_bidenj,results_absentee_trumpd,results_absentee_jorgensenj,results_absentee_hawkinsh,results_absentee_westk,results_absentee_blankenshipd,results_absentee_hammonsb,results_absentee_charlesm,results_absentee_carrollb,results_absentee_kopitkek,results_absentee_la_rivag,results_absentee_de_la_fuenter,results_absentee_mchughj,results_absentee_pierceb,results_absentee_collinsp,results_absentee_jacob_fambrop,results_absentee_hunterd,results_absentee_huberb,results_absentee_kennedya,results_absentee_scottj,results_absentee_kishorej,results_absentee_write_ins,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,margin2020,votes2016,margin2016,votes2012,margin2012,state,retrieved_time
08073,Lincoln,2651,0,12,13,Other,100,2651,>98%,>98% reported,edison,8,unknown,,,,,470,2135,26,1,3,7,1,3,1,2,0,0,0,1,0,0,0,1,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2020-11-24T13:23:28Z,62.80649,R+63,Trump +63,republican,62.80649,2436,60.9,2287,49.63,colorado,2020-11-26T00:50:24.363563Z
08075,Logan,10532,0,15,16,Other,100,10532,>98%,>98% reported,edison,8,unknown,,,,,2218,8087,139,16,20,18,4,9,5,0,1,2,2,1,4,2,0,1,2,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2020-11-24T13:21:41Z,55.72541,R+56,Trump +56,republican,55.72541,9722,55.9,9124,38,colorado,2020-11-26T00:50:24.363563Z
08077,Mesa,90622,0,56,57,Other,100,90613,>98%,>98% reported,edison,8,all,,,,,31536,56894,1306,188,197,200,65,58,38,15,15,10,16,15,18,17,7,12,7,7,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2020-11-24T13:21:52Z,27.98217,R+28,Trump +28,republican,27.98217,77654,36.1,72947,32.39,colorado,2020-11-26T00:50:24.363563Z
08079,Mineral,756,0,1,1,Other,100,757,>98%,>98% reported,edison,8,unknown,,,,,317,427,3,0,1,5,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2020-11-24T13:21:53Z,14.55026,R+15,Trump +15,republican,14.55026,652,16.4,650,8.15,colorado,2020-11-26T00:50:24.363563Z
08081,Moffat,7026,0,12,13,Other,100,7026,>98%,>98% reported,edison,8,some,,,,,1203,5670,97,7,21,6,3,7,2,1,0,0,2,4,1,1,1,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2020-11-24T13:21:54Z,63.57814,R+64,Trump +64,republican,63.57814,6525,67.9,6168,54.56,colorado,2020-11-26T00:50:24.363563Z
08083,Montezuma,15500,0,11,11,Other,100,15500,>98%,>98% reported,edison,8,all,,,,,5836,9306,192,33,37,26,16,18,9,6,2,3,2,2,3,3,1,0,3,2,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2020-11-24T13:21:55Z,22.3871,R+22,Trump +22,republican,22.3871,12858,30.2,12318,23.21,colorado,2020-11-26T00:50:24.363563Z
08085,Montrose,24922,0,28,28,Other,100,24922,>98%,>98% reported,edison,8,some,,,,,7687,16770,285,49,45,30,16,8,7,4,2,1,2,3,3,2,2,2,0,2,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2020-11-24T13:22:00Z,36.44571,R+36,Trump +36,republican,36.44571,21186,42.1,20130,36.83,colorado,2020-11-26T00:50:24.363563Z
08087,Morgan,13744,0,18,18,Other,100,13744,>98%,>98% reported,edison,8,unknown,,,,,3876,9593,151,26,27,14,11,11,5,2,2,9,6,2,5,0,1,0,0,3,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2020-11-24T13:22:02Z,41.59633,R+42,Trump +42,republican,41.59633,11960,41.8,10777,24.96,colorado,2020-11-26T00:50:24.363563Z
08089,Otero,9576,0,16,17,Other,100,9576,>98%,>98% reported,edison,8,some,,,,,3605,5756,88,16,35,15,10,14,6,4,2,8,1,1,5,2,1,3,3,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2020-11-24T13:22:03Z,22.46241,R+22,Trump +22,republican,22.46241,8452,23.5,8192,8.97,colorado,2020-11-26T00:50:24.363563Z
08091,Ouray,4020,0,5,5,Other,100,4020,>98%,>98% reported,edison,8,some,,,,,2365,1577,46,12,7,5,2,0,1,0,3,0,1,0,1,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2020-11-24T13:22:05Z,19.60199,D+20,Biden +20,democrat,-19.60199,3310,-10.5,3202,-5.15,colorado,2020-11-26T00:50:24.363563Z
08093,Park,12290,0,13,13,Other,100,12289,>98%,>98% reported,edison,8,unknown,,,,,4903,6991,238,56,30,29,11,12,4,2,1,0,3,2,4,1,0,0,0,2,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2020-11-24T13:22:07Z,16.98942,R+17,Trump +17,republican,16.98942,10417,26.1,9366,14.67,colorado,2020-11-26T00:50:24.363563Z
08095,Phillips,2485,0,7,8,Other,100,2485,>98%,>98% reported,edison,8,unknown,,,,,486,1958,24,7,4,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2020-11-24T13:22:09Z,59.23541,R+59,Trump +59,republican,59.23541,2332,58.1,2265,46.31,colorado,2020-11-26T00:50:24.363563Z
