fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_outstanding,absentee_max_ballots,provisional_outstanding,provisional_count_progress,results_trumpd,results_bidenj,results_jorgensenj,results_write_ins,results_absentee_trumpd,results_absentee_bidenj,results_absentee_jorgensenj,results_absentee_write_ins,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,margin2020,votes2016,margin2016,votes2012,margin2012,state,retrieved_time
13215,Muscogee,80655,67081,24,25,Merged into voters' home precincts and released with cumulative results,100,80543,>98%,>98% reported,edison,10,unknown,,59253,,,30049,49529,965,112,23505,42917,658,1,2020-11-11T03:26:59Z,24.15225,D+24,Biden +24,democrat,-24.15225,69525,-18.5,70603,-21.33,georgia,2020-11-11T12:17:47.978392Z
13217,Newton,54239,36277,22,22,None,100,54239,>98%,>98% reported,edison,10,unknown,,40739,,,23869,29794,576,0,12963,23027,287,0,2020-11-11T03:27:00Z,10.92387,D+11,Biden +11,democrat,-10.92387,44238,-2.3,43234,-2.01,georgia,2020-11-11T12:17:47.978392Z
13219,Oconee,25168,21647,12,12,Merged into voters' home precincts and released with cumulative results,100,25168,>98%,>98% reported,edison,6,unknown,,16322,,,16595,8162,411,0,13912,7437,298,0,2020-11-11T03:26:58Z,33.50683,R+34,Trump +34,republican,33.50683,20149,38.9,17817,48.7,georgia,2020-11-11T12:17:47.978392Z
13221,Oglethorpe,8131,6623,3,3,Merged into voters' home precincts and released with cumulative results,100,8131,>98%,>98% reported,edison,6,some,,4622,,,5593,2436,102,0,4530,2018,75,0,2020-11-11T03:26:58Z,38.82671,R+39,Trump +39,republican,38.82671,6674,41.9,6273,37.25,georgia,2020-11-11T12:17:47.978392Z
13223,Paulding,85273,71473,19,19,Released as a precinct as first report of the night,100,85273,>98%,>98% reported,edison,6,unknown,,61685,,,54460,29658,1155,0,44750,25895,828,0,2020-11-11T03:26:58Z,29.08541,R+29,Trump +29,republican,29.08541,65478,40.7,57399,43.59,georgia,2020-11-11T12:17:47.978392Z
13225,Peach,12546,10722,7,7,Other,100,12545,>98%,>98% reported,edison,6,some,,12557,,,6502,5920,123,1,5538,5105,78,1,2020-11-11T03:26:59Z,4.63893,R+5,Trump +5,republican,4.63893,10752,2.9,11516,-7.48,georgia,2020-11-11T12:17:47.978392Z
13227,Pickens,17116,10334,11,12,"As a precinct in the FIRST cumulative report, along with regular precincts",100,17116,>98%,>98% reported,edison,10,unknown,,10978,,,14075,2808,233,0,8073,2163,98,0,2020-11-11T03:26:59Z,65.8273,R+66,Trump +66,republican,65.8273,14058,68.8,12680,67.6,georgia,2020-11-11T12:17:47.978392Z
13229,Pierce,9048,7704,8,8,Released as a separate subtotal as first report of the night,100,9048,>98%,>98% reported,edison,6,some,,6190,,,7899,1100,49,0,6691,978,35,0,2020-11-11T03:26:59Z,75.14368,R+75,Trump +75,republican,75.14368,7311,73.8,6846,66.36,georgia,2020-11-11T12:17:47.978392Z
13231,Pike,10720,8067,8,8,Released as a precinct at the end of tabulation,100,10720,>98%,>98% reported,edison,6,some,,7038,,,9127,1505,88,0,6786,1220,61,0,2020-11-11T03:27:00Z,71.10075,R+71,Trump +71,republican,71.10075,8725,69.2,8109,65.51,georgia,2020-11-11T12:17:47.978392Z
13233,Polk,17399,13864,7,7,Released as a precinct as first report of the night,100,17399,>98%,>98% reported,edison,6,unknown,,13243,,,13589,3658,152,0,10728,3045,91,0,2020-11-11T03:27:00Z,57.07799,R+57,Trump +57,republican,57.07799,14215,57.3,13608,45.53,georgia,2020-11-11T12:17:47.978392Z
13235,Pulaski,4059,3547,1,1,None,100,4059,>98%,>98% reported,edison,6,some,,3709,,,2805,1217,37,0,2468,1052,27,0,2020-11-11T03:26:55Z,39.12294,R+39,Trump +39,republican,39.12294,3605,37,3682,33.27,georgia,2020-11-11T12:17:47.978392Z
13237,Putnam,11855,9802,5,5,"As a precinct in the FIRST cumulative report, along with regular precincts",100,11855,>98%,>98% reported,edison,10,some,,8776,,,8291,3448,116,0,6743,2978,81,0,2020-11-11T03:26:55Z,40.85196,R+41,Trump +41,republican,40.85196,9488,39.9,9222,35.66,georgia,2020-11-11T12:17:47.978392Z
13239,Quitman,1106,776,2,2,None,100,1106,>98%,>98% reported,edison,10,some,,990,,,604,497,5,0,441,333,2,0,2020-11-11T03:26:55Z,9.6745,R+10,Trump +10,republican,9.6745,1044,10.9,1128,-9.04,georgia,2020-11-11T12:17:47.978392Z
